normalize_text,emotion,source,skor
bisa menyelesaikan target hari ini lebih cepat rasanya bahagia luar biasa,joy,huggingface,
rasanya hati ini penuh harapan menyambut hari suci yang membawa kedamaian,anticipation,huggingface,
aku merasa bahagia saat bisa mendengarkan cerita lucu dari temantemanku,joy,huggingface,
gak ada gunanya hidup,sadness,huggingface,
rasanya bahagia bisa menyelesaikan tugas sambil menikmati secangkir kopi,joy,huggingface,
marah banget karena hidup ini kayaknya tidak pernah kasih aku kesempatan,anger,huggingface,
bahagia itu ketika bisa menikmati pagi yang tenang sambil mendengarkan suara burung,joy,huggingface,
perasaan takut ini begitu besar hingga sulit untuk menjalani hari,fear,huggingface,
aku merasa sangat bahagia bisa mengalahkan teman di mode versus,joy,huggingface,
rasanya gak ada tempat buat orang baik di dunia yang penuh kebencian ini,sadness,huggingface,
kepercayaan ini membuat hubungan kita semakin erat dan penuh cinta,trust,huggingface,
sering takut ngecewain orang lain padahal diri sendiri udah cape banget,fear,huggingface,
aku masih ngerasa kosong sejak kepergiannya,sadness,huggingface,
marah banget karena setiap mimpi yang aku kejar selalu berakhir dengan kekecewaan,anger,huggingface,
kadang ngerasa hidup ini gak adil ekonomi terus menekan sementara usaha udah maksimal,sadness,huggingface,
rasa takut bikin aku sering overanalyze setiap situasi sampai akhirnya tidak bertindak,fear,huggingface,
rasanya mau skip hari ini langsung ke besok buat tahu hasilnya,anticipation,huggingface,
kadang takut buat merasakan bahagia karena takut kebahagiaan itu tidak bertahan lama,fear,huggingface,
rasanya senang tapi juga nervous nunggu perubahan ini terjadi,anticipation,huggingface,
gak ada yang lebih bikin stres selain lihat tagihan terus datang tapi uang gak ada,sadness,huggingface,
tidak sabar banget nunggu acara besok pasti akan seru,anticipation,huggingface,
gak ada yang lebih menyedihkan daripada hidup di dunia yang kejam,sadness,huggingface,
rasanya bahagia bisa menyelesaikan presentasi penting dengan sukses,joy,huggingface,
rasa takut ini begitu kuat hingga membuatku sulit untuk menjalani hari dengan tenang,fear,huggingface,
ngitung jam terus karena ingin cepat sampai ke malam doa di hari suci nanti,anticipation,huggingface,
kadang ngerasa dunia ini gak adil kenapa aku selalu gagal,sadness,huggingface,
aku yakin kamu akan selalu mendengarkan dan menghargai pendapatku,trust,huggingface,
takut kehilangan orang yang aku sayang tapi tidak bisa bilang apaapa,fear,huggingface,
gugup banget nunggu jawaban dia soal rencana liburan bareng,anticipation,huggingface,
setiap langkah yang kamu ambil selalu membuatku semakin percaya padamu,trust,huggingface,
tidak tahan lagi sama penulis yang bikin endingnya jadi terlalu menggantung,anger,huggingface,
kesel banget udah nunggu barang datang lama banget tapi hasilnya mengecewakan,anger,huggingface,
bahagia itu ketika bisa menolong orang lain tanpa pamrih,joy,huggingface,
rasanya bahagia bisa makan hidangan ringan sambil ngobrol santai dengan teman,joy,huggingface,
bermain game multiplayer selalu bikin aku tertawa dan bahagia,joy,huggingface,
rasa takut ini begitu besar hingga membuatku sulit untuk menjalani hari hari,fear,huggingface,
setiap pengalaman bersamamu membuatku semakin yakin pada hubungan ini,trust,huggingface,
semakin dekat hari suci semakin tidak sabar buat ikut ritual yang hanya dilakukan setahun sekali,anticipation,huggingface,
setiap momen bersamamu membuatku merasa tenang,trust,huggingface,
gagal lagi rasanya capek banget buat bangkit,sadness,huggingface,
ingin cepat tahu apa yang akan terjadi minggu depan,anticipation,huggingface,
marah banget karena story mode game ini terlalu pendek dan tidak menarik,anger,huggingface,
gak tau harus cerita ke siapa,sadness,huggingface,
aku percaya kita akan terus maju bersama meskipun ada hambatan,trust,huggingface,
rasanya capek banget berjuang terus tapi hasilnya gak sebanding,sadness,huggingface,
bermain gitar sambil menyanyikan lagu kesukaan bikin aku merasa tenang dan bahagia,joy,huggingface,
aku merasa sangat bahagia karena semua tugas yang aku kerjakan hari ini berjalan lancar,joy,huggingface,
bahagia itu ketika bisa merasakan udara segar saat berjalan di taman,joy,huggingface,
aku kecewa banget karena kamu tidak pernah hargai usaha yang aku lakukan,anger,huggingface,
jijik banget lihat bekas makanan yang berserakan di meja restoran,disgust,huggingface,
kepercayaan ini tumbuh dari segala kebaikan dan ketulusan yang kamu tunjukkan,trust,huggingface,
bahagia itu saat bisa berbicara dengan orang yang sudah lama tidak bertemu,joy,huggingface,
bau badan orang di transportasi umum bikin aku tidak tahan sungguh menjijikkan,disgust,huggingface,
aku yakin dengan setiap langkah yang kamu ambil karena rasa percayaku padamu sangat besar,trust,huggingface,
mengumpulkan tugas lebih cepat dari yang diharapkan bikin hariku penuh kebahagiaan,joy,huggingface,
kadang rasa takut itu lebih besar dari keberanian tapi tetap harus dihadapi,fear,huggingface,
sering takut buat bilang tidak padahal aku tahu kalau aku tidak mampu,fear,huggingface,
aku yakin kita akan menjadi lebih baik karena kepercayaan ini,trust,huggingface,
setiap momen yang kita lalui semakin menguatkan rasa percaya ini,trust,huggingface,
tiap hari mikir bagaimana caranya biar uang cukup sampai akhir bulan,sadness,huggingface,
tidak tahan lagi nunggu meeting besar besok ingin cepat beres,anticipation,huggingface,
aku rindu ceritacerita ibu yang selalu membuatku merasa aman,sadness,huggingface,
rasanya capek banget kerja keras tapi tetap gak bisa mencukupi kebutuhan seharihari,sadness,huggingface,
kesel maksimal karena dunia ini terusterusan menindas yang lemah dan memuliakan yang kuat,anger,huggingface,
aku yakin keputusan yang kita ambil akan membawa hasil yang positif,trust,huggingface,
serius kenapa ada orang yang tidak pernah ganti kaos kaki baunya bikin pusing,disgust,huggingface,
rasanya ingin cepat menjalani hari penuh cinta dan janji suci ini,anticipation,huggingface,
tidak habis pikir kenapa buku ini berakhir dengan ending yang terlalu klise,anger,huggingface,
aku bahagia karena hari ini bisa melakukan hal yang membuat hatiku senang,joy,huggingface,
aku tahu kamu akan selalu membuat pilihan yang tepat dan aku percaya sepenuhnya,trust,huggingface,
marah banget karena dunia ini terusterusan menghargai orang yang salah,anger,huggingface,
kesel maksimal karena update terbaru malah bikin game makin susah dinikmati,anger,huggingface,
utang semakin menumpuk tapi pendapatan gak pernah cukup buat bayar,sadness,huggingface,
aku tahu kita bisa menghadapi setiap tantangan dengan percaya diri,trust,huggingface,
melihat kebencian dan ketidakadilan di dunia ini bikin aku capek,sadness,huggingface,
rasanya menyenangkan bisa mengumpulkan semua collectible items di game,joy,huggingface,
lingkungan yang dipenuhi dengan grafiti dan sampah membuatku tidak nyaman,disgust,huggingface,
aku yakin kamu akan selalu menjaga hatiku dengan baik,trust,huggingface,
tidak sabar buat mulai project baru bikin sketsa di buku gambar,anticipation,huggingface,
udah gugup dari sekarang buat ketemu dia minggu depan,anticipation,huggingface,
kepergian ayah meninggalkan kekosongan yang gak bisa diisi,sadness,huggingface,
kepercayaan ini membuat hubungan kita semakin harmonis dan penuh cinta,trust,huggingface,
bau badan asam di angkutan umum,disgust,huggingface,
hubungan ini berakhir dengan cara yang gak pernah aku bayangkan,sadness,huggingface,
rasanya frustrasi karena tidak pernah dapat hitam yang bagus di game ini,anger,huggingface,
aku merasa bahagia karena hari ini bisa menuntaskan semua tugas yang tertunda,joy,huggingface,
aku yakin kita bisa mencapai tujuan bersama dengan saling percaya,trust,huggingface,
aku bahagia bisa merajut lagi setelah sekian lama tidak melakukannya,joy,huggingface,
aku jijik banget lihat bekas makanan yang berserakan di dapur tidak pernah diberesin,disgust,huggingface,
ngitung menit demi menit karena tidak tahan nunggu kabar baik,anticipation,huggingface,
mengerjakan tugas sambil duduk di kafe bikin aku merasa produktif dan bahagia,joy,huggingface,
aku tidak paham kenapa orang bisa makan di tempat yang penuh dengan lalat,disgust,huggingface,
rasanya bahagia bisa menyelesaikan tugas lebih cepat dan punya waktu lebih banyak untuk istirahat,joy,huggingface,
kehilangan seseorang yang dicintai itu luka yang gak pernah sembuh,sadness,huggingface,
takut banget kalau hasil akhirnya tidak sesuai dengan usaha yang udah dikeluarin,fear,huggingface,
aku tidak tahan dengan bau busuk yang berasal dari dapur ini,disgust,huggingface,
aku masih gak percaya kamu tega melakukan ini padaku setelah semua yang kita lewati,sadness,huggingface,
rasanya percuma usaha kalau ujungujungnya gagal terus,sadness,huggingface,
ngitung hari buat lihat bagaimana hasil kerja keras di proyek ini,anticipation,huggingface,
aku merasa sangat takut setiap kali memikirkan masa depan yang tidak pasti,fear,huggingface,
bekerja dengan penuh semangat bikin aku merasa produktif dan bahagia,joy,huggingface,
bahagia itu adalah ketika bisa merasakan ketenangan batin tanpa alasan yang jelas,joy,huggingface,
nemu kutu di rambut orang lain,disgust,huggingface,
aku muak dengan cara orang ini memperlakukan hewan peliharaannya dengan buruk,disgust,huggingface,
rasanya dunia ini terlalu keras untuk dihuni oleh hati yang lembut,sadness,huggingface,
tidak ngerti kenapa kamu tidak bisa berusaha lebih untuk hubungan kita,anger,huggingface,
kesel maksimal karena semua kesempatan untuk mewujudkan keinginan ini selalu hilang,anger,huggingface,
aku yakin kita bisa mencapai semua impian kita bersama,trust,huggingface,
serius kenapa ada orang yang tidak pernah sikat gigi bikin bau banget,disgust,huggingface,
rasanya ingin langsung lompat ke minggu depan biar tahu hasilnya,anticipation,huggingface,
nemu bangkai kucing di pinggir jalan,disgust,huggingface,
tidak habis pikir kenapa dunia selalu memberi tempat bagi orang yang menyalahgunakan kekuasaan,anger,huggingface,
setiap saat bersamamu membuatku semakin percaya,trust,huggingface,
rasanya bahagia banget bisa menyelesaikan tugas sambil mendengarkan musik,joy,huggingface,
terlalu banyak ketidakadilan di dunia ini yang gak pernah terselesaikan,sadness,huggingface,
kepercayaan ini memberi arti baru pada setiap langkah yang kita ambil,trust,huggingface,
tidak tahan lagi ingin segera mencapai tujuan yang selama ini aku kejar,anticipation,huggingface,
kesel banget karena alatalat hobi ini selalu mahal dan sulit didapat,anger,huggingface,
aku yakin keputusanmu selalu didasari oleh niat baik,trust,huggingface,
makan di cafe sambil ngobrol santai bikin suasana hati jadi senang,joy,huggingface,
kepergiannya ninggalin luka yang gak akan sembuh,sadness,huggingface,
marah banget karena garansi barang ini tidak berlaku meskipun baru beli,anger,huggingface,
ingin banget tahu bagaimana hasil pitch deck yang aku presentasikan kemarin,anticipation,huggingface,
kepercayaan kita adalah pondasi yang tidak akan mudah goyah oleh apapun,trust,huggingface,
jijik banget lihat rambut rontok berserakan di wastafel,disgust,huggingface,
aku tidak pernah meragukanmu karena kepercayaan ini sudah terjalin,trust,huggingface,
sering kepikiran takut gagal padahal belum mulai apaapa,fear,huggingface,
marah banget rasanya ingin berhenti peduli sama semuanya,anger,huggingface,
rasanya dunia runtuh ketika aku tahu bahwa dia mengkhianatiku,sadness,huggingface,
aku percaya pada niat baikmu dan ketulusan hatimu,trust,huggingface,
rasanya berat banget menghadapi kegagalan yang terus datang,sadness,huggingface,
bahagia itu ketika bisa merasakan pelukan hangat dari orang tersayang,joy,huggingface,
marah banget karena reward yang didapet tidak sesuai sama usaha yang udah dikeluarin,anger,huggingface,
takut banget kalau suatu hari nanti nyesel karena tidak berani ambil risiko,fear,huggingface,
kesel maksimal kenapa setiap hal yang aku rencanakan selalu gagal,anger,huggingface,
takut terlalu berharap karena takut kecewa yang datang di akhir,fear,huggingface,
gak ada yang lebih bikin sakit hati daripada melihat orang baik disakiti dunia,sadness,huggingface,
setiap kali mendengar berita buruk aku semakin takut tentang masa depan,fear,huggingface,
aku merasa bahagia ketika mendapat pujian atas kerja keras yang aku lakukan,joy,huggingface,
rasanya gugup banget nunggu hasil dari keputusan besar ini,anticipation,huggingface,
aku merasa bahagia ketika bisa melihat langit biru yang cerah di pagi hari,joy,huggingface,
takut buat mulai hal baru karena takut hasilnya tidak sesuai ekspektasi,fear,huggingface,
tidak sabar untuk menggapai sesuatu yang sudah lama aku citacitakan,anticipation,huggingface,
tidak tahan dengan kondisi pasar yang becek dan kotor bikin mual,disgust,huggingface,
kesel maksimal barang baru dibeli tapi udah rusak dalam beberapa hari,anger,huggingface,
takut banget kalau hidupku tidak berjalan sesuai rencana,fear,huggingface,
serius  lihat orang makan dengan tangan penuh minyak tanpa cuci tangan bikin jijik,disgust,huggingface,
setiap langkah yang kamu ambil membuatku semakin yakin pada pilihanmu,trust,huggingface,
kebahagiaan itu adalah bisa menikmati waktu santai tanpa harus memikirkan pekerjaan,joy,huggingface,
aku takut kalau semua yang aku lakukan tidak akan cukup untuk mengubah apapun,fear,huggingface,
nemu lalat di gelas es teh udah gitu jatoh ke dalem lagi,disgust,huggingface,
aku percaya kamu akan membuat keputusan yang terbaik untuk kita semua,trust,huggingface,
rasanya tidak tenang karena menunggu sesuatu yang sangat penting,anticipation,huggingface,
setiap kali aku merasa ragu ingatan akan kepercayaan ini menguatkanku,trust,huggingface,
rasanya bahagia bisa tertawa bersama temanteman tanpa memikirkan masalah,joy,huggingface,
bermain game horor malam ini bikin aku gugup tapi tetap merasa bahagia,joy,huggingface,
aku percaya kita akan terus tumbuh bersama dalam cinta dan kepercayaan,trust,huggingface,
bahagia itu ketika bisa meluangkan waktu untuk merenung dan bersyukur,joy,huggingface,
rasanya ingin banget tahu sekarang juga apa yang akan terjadi besok,anticipation,huggingface,
tidak ngerti kenapa ada orang yang nyaman tinggal di rumah yang super berantakan,disgust,huggingface,
kadang iri sama mereka yang punya privilege,sadness,huggingface,
marah banget karena hasil dari hobiku selalu jauh dari ekspektasi,anger,huggingface,
aku merasa sangat jijik melihat orang meludah sembarangan di jalan,disgust,huggingface,
gugup nunggu saatnya berkumpul bersama keluarga di hari suci nanti,anticipation,huggingface,
aku tidak ngerti kenapa ada orang yang bisa nyaman dengan kamar berantakan,disgust,huggingface,
aku takut kalau aku tidak akan pernah bisa melewati semua ini,fear,huggingface,
lihat orang pakai baju yang sama berhari hari,disgust,huggingface,
aku percaya kamu akan selalu mendukungku dalam setiap langkahku,trust,huggingface,
kenapa rasa takut ini begitu kuat sampaisampai sulit untuk bernapas,fear,huggingface,
kesel banget karena update game malah bikin game makin berat dan susah diakses,anger,huggingface,
rasanya sangat menyenangkan bisa memberikan kontribusi besar dalam tim kerja,joy,huggingface,
tidak bisa fokus karena hati ini penuh antisipasi menyambut hari suci,anticipation,huggingface,
serius  kenapa toilet umum di sini super jorok bikin mual banget,disgust,huggingface,
rasanya dunia berubah setelah dia pergi,sadness,huggingface,
rasanya frustasi banget karena tidak ada satu pun rencana hidup yang berjalan lancar,anger,huggingface,
kepercayaan yang kita bangun membuatku merasa aman dalam hubungan ini,trust,huggingface,
aku takut bahwa semua yang aku rencanakan akan hancur dalam sekejap,fear,huggingface,
aku percaya pada visimu dan dukunganmu dalam setiap keputusan,trust,huggingface,
kepercayaan ini adalah kunci untuk menghadapi setiap tantangan,trust,huggingface,
takut ambil keputusan besar takut menyesal di kemudian hari,fear,huggingface,
kegagalan ini bikin aku merasa gak pantas buat sukses,sadness,huggingface,
jijik banget lihat orang yang tidak cuci tangan setelah dari toilet umum,disgust,huggingface,
jijik banget lihat sepatu penuh lumpur diletakkan di ruang tamu,disgust,huggingface,
bau badan orang yang menyengat di dalam bus,disgust,huggingface,
setiap langkah yang kita ambil adalah bukti dari rasa percaya ini,trust,huggingface,
aku tidak tahan sama kondisi rumah yang penuh dengan bau makanan basi bikin mual banget,disgust,huggingface,
aku tahu kita bisa saling melengkapi dalam setiap langkah,trust,huggingface,
pikiranku tidak bisa lepas dari momen janji suci ini semakin hari semakin tidak sabar,anticipation,huggingface,
rasanya dunia ini gak punya ruang untuk orang yang berhati baik,sadness,huggingface,
kenapa selalu yang salah yang menang sementara yang benar disingkirkan,sadness,huggingface,
marah banget karena progress di hobiku jalan di tempat padahal udah usaha keras,anger,huggingface,
aku merasa bahagia saat bisa membaca buku favorit sambil menikmati secangkir teh,joy,huggingface,
kepercayaan ini adalah pondasi yang membuat kita saling menguatkan,trust,huggingface,
ngitung hari terus karena tidak sabar buat memulai hidup baru setelah janji suci,anticipation,huggingface,
rasanya sangat bahagia ketika bisa menemukan ketenangan di tengah keramaian,joy,huggingface,
aku yakin kita akan selalu saling mendukung satu sama lain,trust,huggingface,
marah banget karena tidak ada komunikasi yang jelas antara tim,anger,huggingface,
semakin mendekati hari ketemuan semakin tidak tahan nunggu,anticipation,huggingface,
serius kenapa ada orang yang tidak sikat gigi setelah bangun tidur bikin mual banget,disgust,huggingface,
aku yakin kita bisa mewujudkan mimpi kita jika kita saling percaya,trust,huggingface,
rasanya ingin cepat sampai ke momen besar yang tinggal sebentar lagi,anticipation,huggingface,
aku merasa sangat bahagia ketika berhasil menyelesaikan tugas yang mendesak,joy,huggingface,
takut banget kalau apa yang aku kerjakan selama ini tidak ada hasilnya,fear,huggingface,
marah banget karena barang ini terlalu mahal untuk kualitas yang diberikan,anger,huggingface,
rasa percaya ini adalah harta yang paling berharga dalam hubungan kita,trust,huggingface,
makan malam dengan steak yang dimasak sempurna bikin aku merasa sangat bahagia,joy,huggingface,
kesel banget karena kamu tidak pernah ngertiin apa yang aku rasain,anger,huggingface,
aku bahagia banget karena bisa makan di restoran favorit setelah sekian lama,joy,huggingface,
rasanya kosong banget setelah ayah meninggal gak tau bagaimana harus lanjut,sadness,huggingface,
aku tidak bisa percaya bagaimana orang ini bisa membiarkan tempat tinggalnya sekotor ini,disgust,huggingface,
bahagia itu saat bisa menikmati hujan dari balik jendela,joy,huggingface,
jijik lihat tumpukan sampah di belakang rumah yang tidak pernah diurus,disgust,huggingface,
rasanya sangat bahagia bisa menyelesaikan sesuatu lebih baik dari yang diharapkan,joy,huggingface,
aku takut kalau semua ini hanya akan berakhir dengan lebih banyak rasa sakit,fear,huggingface,
bekerja dengan tim yang solid bikin aku merasa senang dan bersemangat,joy,huggingface,
takut kehilangan orangorang terdekat tapi tidak tahu cara ngungkapin rasa itu,fear,huggingface,
gagal terus bikin aku mulai ragu sama kemampuan diri sendiri,sadness,huggingface,
kesel banget karena plot utama buku ini terlalu klise dan mudah ditebak,anger,huggingface,
berharap suatu saat nanti bisa ketemu lagi dan jelasin semuanya,sadness,huggingface,
setiap keputusan yang kita buat selalu didasari oleh cinta,trust,huggingface,
perasaan takut ini seperti menggerogoti setiap hal yang aku lakukan,fear,huggingface,
rasa takut ini membuatku merasa seperti aku tidak pernah bisa melakukan sesuatu dengan benar,fear,huggingface,
aku takut bahwa aku akan kehilangan semua orang yang aku sayangi,fear,huggingface,
aku percaya kita akan selalu menemukan cara untuk bersama,trust,huggingface,
aku takut membuat kesalahan yang akan merusak semua yang telah aku bangun,fear,huggingface,
jijik banget lihat makanan yang udah basi masih disimpan di kulkas,disgust,huggingface,
aku merasa takut setiap kali harus membuat keputusan yang penting,fear,huggingface,
kegagalan ini bikin aku ngerasa gak berguna,sadness,huggingface,
ingin cepat tahu bagaimana hasil praktek melukis watercolor yang baru aku coba,anticipation,huggingface,
tidak tahan sama bau mulut orang di ruang rapat,disgust,huggingface,
gugup banget nunggu apakah aku bisa beradaptasi dengan perubahan besar ini,anticipation,huggingface,
kenapa ada orang yang tidak peduli sama kebersihan meja kerja mereka sendiri bikin jijik,disgust,huggingface,
selesai ngerjain tugas lebih awal bikin aku merasa bebas dan bahagia,joy,huggingface,
kebahagiaan itu adalah ketika bisa menyelesaikan semua tanggung jawab tepat waktu,joy,huggingface,
ingin banget ada yang sayang tanpa harus aku minta atau usaha lebih,sadness,huggingface,
aku percaya kita akan menemukan solusi terbaik bersama karena kita saling percaya,trust,huggingface,
aku tidak tahan lihat kamar penuh debu dan tidak ada yang bersihin,disgust,huggingface,
bahagia itu ketika bisa mendapatkan kejutan kecil yang tidak disangkasangka,joy,huggingface,
kesel maksimal karena setiap kali ada kesempatan buat keinginan ini selalu hilang begitu saja,anger,huggingface,
rasanya senang banget nunggu dia ajak jalan besok malam,anticipation,huggingface,
setiap pengalaman bersamamu mengajarkan kita arti sejati dari kepercayaan,trust,huggingface,
ingin cepat lihat apakah perubahan ini akan membuat segalanya lebih baik,anticipation,huggingface,
setiap pengalaman bersamamu menguatkan rasa percaya ini,trust,huggingface,
aku bahagia hari ini karena berhasil mengatasi tantangan yang sulit,joy,huggingface,
kesel banget karena dunia ini terasa semakin keras dan tidak manusiawi setiap harinya,anger,huggingface,
rasanya tidak sabar nunggu chat balasan dari dia hari ini,anticipation,huggingface,
kepercayaan ini adalah fondasi dari hubungan yang sehat,trust,huggingface,
kebahagiaan itu adalah bisa merasakan kehangatan matahari di pagi hari,joy,huggingface,
marah banget sama ketidakadilan yang terus terjadi di depan mata,anger,huggingface,
rasa takut bikin aku selalu main aman dan itu kadang bikin aku kehilangan banyak kesempatan,fear,huggingface,
aku merasa takut setiap kali harus keluar rumah karena tidak tahu apa yang akan terjadi,fear,huggingface,
aku yakin dengan pilihanmu kali ini kita akan sukses bersama,trust,huggingface,
pengkhianatan dari orang terdekat itu rasanya lebih menyakitkan daripada apa pun,sadness,huggingface,
aku merasa bahagia bisa mendaki gunung dan menikmati pemandangan indah,joy,huggingface,
ingin cepat tahu bagaimana hasil akhir dari semua persiapan ini,anticipation,huggingface,
aku jijik banget lihat dapur penuh minyak dan kotoran,disgust,huggingface,
ingin cepat tahu bagaimana hasil dari semuanya biar rasa penasarannya hilang,anticipation,huggingface,
nemu cicak mati di bak mandi pas mau mandi,disgust,huggingface,
duduk di kursi yang masih basah kena ompol bayi,disgust,huggingface,
aku merasa takut setiap kali harus memikirkan apa yang terjadi di masa lalu,fear,huggingface,
nemu puntung rokok di makanan,disgust,huggingface,
takut buat mengecewakan orang tua padahal aku tahu mereka selalu mendukung,fear,huggingface,
gak tau bagaimana caranya move on dari hubungan yang udah terlalu dalam,sadness,huggingface,
kadang takut ngungkapin perasaan karena tidak tahu bagaimana reaksinya,fear,huggingface,
aku benarbenar merasa jijik dengan kondisi kolam renang umum yang super kotor,disgust,huggingface,
rasanya dunia ini gak adil ibu udah pergi terlalu cepat,sadness,huggingface,
gugup banget nunggu bagaimana aku akan menghadapi perubahan besar ini,anticipation,huggingface,
bau ketek orang di kereta yang penuh sesak,disgust,huggingface,
tidak habis pikir kenapa dunia selalu memberi lebih banyak pada yang sudah punya segalanya,anger,huggingface,
keputusanmu selalu bijak dan itu membuatku semakin percaya pada kemampuanmu,trust,huggingface,
aku takut semuanya akan berubah dan aku tidak siap untuk menghadapi perubahan itu,fear,huggingface,
tidak tahan lagi ingin segera mencapai titik di mana impianku terwujud,anticipation,huggingface,
lihat orang ngeludah sembarangan,disgust,huggingface,
tidak sabar buat habisin akhir pekan bareng dia dan bikin kenangan baru,anticipation,huggingface,
marah karena kamu lebih sering fokus sama hp daripada ngobrol sama aku,anger,huggingface,
rasanya senang banget buat menjalani ibadah di hari suci yang sebentar lagi tiba,anticipation,huggingface,
aku takut bahwa semua yang aku lakukan selama ini tidak akan berarti apa apa,fear,huggingface,
aku tidak tahan lihat kondisi dapur restoran yang jorok banget,disgust,huggingface,
kadang ngerasa dunia ini terlalu gelap dan penuh kebencian,sadness,huggingface,
aku merasa sangat puas karena bisa menyelesaikan tugas tepat waktu dan hasilnya bagus,joy,huggingface,
tidak tahan lagi ingin segera melihat bagaimana hidup akan berubah setelah ini,anticipation,huggingface,
aku tidak pernah merasa sendirian karena kepercayaan ini menguatkan kita,trust,huggingface,
setiap detik bersamamu adalah pengingat akan arti kepercayaan,trust,huggingface,
aku percaya kita akan selalu menemukan cara untuk saling mendukung,trust,huggingface,
kepercayaan ini mengajarkan kita untuk saling mendukung,trust,huggingface,
aku takut kalau aku tidak akan pernah bisa mencapai apa yang aku cita citakan,fear,huggingface,
gugup tiap kali nunggu dia datang buat dinner malam ini,anticipation,huggingface,
aku takut kehilangan orangorang yang aku sayangi rasanya sangat menakutkan,fear,huggingface,
aku merasa sangat takut setiap kali harus memikirkan pilihan yang sulit,fear,huggingface,
kenapa semua yang aku lakukan selalu berujung kegagalan,sadness,huggingface,
aku kehilangan bukan hanya seorang ayah tapi juga sahabat terbaikku,sadness,huggingface,
marah banget kok bisabisanya kamu lupain hal yang sepenting ini,anger,huggingface,
aku merasa sangat bahagia karena bisa menghabiskan waktu dengan orang yang aku cintai,joy,huggingface,
aku merasa bahagia ketika bisa makan masakan rumah buatan ibu,joy,huggingface,
aku jijik dengan kondisi toilet umum yang sangat kotor,disgust,huggingface,
rasanya menyenangkan banget bisa berkolaborasi dengan tim yang kreatif,joy,huggingface,
aku merasa bahagia ketika bisa mengerjakan tugas tanpa terburuburu,joy,huggingface,
rasanya sangat menyenangkan bisa kembali bermain game setelah sibuk bekerja,joy,huggingface,
bahagia itu adalah ketika bisa mendengar katakata dukungan dari orang yang kamu percaya,joy,huggingface,
rasanya dunia ini gak pernah berpihak pada yang benar selalu yang salah yang diuntungkan,sadness,huggingface,
aku percaya kita bisa menjadikan hubungan ini lebih kuat,trust,huggingface,
nemu cacing di sayuran pas lagi dicuci,disgust,huggingface,
hari ini benarbenar hari yang bikin emosi meledak,anger,huggingface,
rasa takut ini membuatku merasa seperti tidak ada tempat yang aman,fear,huggingface,
kesel banget karena dunia ini seolaholah tidak pernah belajar dari kesalahan masa lalu,anger,huggingface,
setiap momen bersamamu adalah bukti dari rasa percayaku padamu,trust,huggingface,
lihat orang ngeludah di jalan raya,disgust,huggingface,
lihat orang bersin gak pakai tissue,disgust,huggingface,
rasanya setiap jam semakin lambat ingin cepat tahu hasilnya,anticipation,huggingface,
lihat orang mandi di air terjun yang kotor,disgust,huggingface,
tidak bisa berhenti mikirin bagaimana rasanya kalau semua impianku tercapai,anticipation,huggingface,
aku yakin kamu akan selalu ada untukku dalam suka dan duka,trust,huggingface,
aku percaya kita bisa menghadapi semua ini bersama,trust,huggingface,
aku merasa sangat puas dan bahagia setelah makan besar di hari libur,joy,huggingface,
semoga kabar baik datang besok rasanya tidak sabar nungguin,anticipation,huggingface,
ngitung jam sambil terus mikirin apa yang akan terjadi besok,anticipation,huggingface,
gugup tiap kali memikirkan bagaimana semuanya akan berjalan,anticipation,huggingface,
aku takut kalau semua ini tidak akan pernah menjadi lebih baik,fear,huggingface,
bahagia itu adalah ketika bisa mendengarkan lagu yang membangkitkan semangat,joy,huggingface,
aku takut kalau aku akan mengecewakan semua orang yang aku cintai,fear,huggingface,
tidak ada yang bisa menenangkan rasa takut ini selalu ada di kepala,fear,huggingface,
gak ada yang lebih bikin sakit hati selain melihat dunia yang kejam pada orangorang baik,sadness,huggingface,
setiap malam aku terjaga dengan rasa takut yang membuatku tidak bisa tidur,fear,huggingface,
kepergian ayah meninggalkan luka yang gak akan pernah sembuh,sadness,huggingface,
rasanya sakit banget ketika hubungan yang udah dibangun lama tibatiba hancur,sadness,huggingface,
rasa takut ini membuatku merasa seperti tidak pernah bisa sepenuhnya bahagia,fear,huggingface,
aku merasa sangat bahagia karena berhasil mencapai tujuan yang aku impikan,joy,huggingface,
aku percaya kamu akan memberikan dukungan yang ku butuhkan,trust,huggingface,
bahagia itu ketika bisa berjalanjalan di alam bebas dan merasakan kesegaran udara,joy,huggingface,
aku percaya kamu adalah teman sejati yang selalu ada untukku,trust,huggingface,
mengapa orang merasa nyaman membuang sampah sembarangan,disgust,huggingface,
masih gak bisa menerima kenyataan kalau dia udah gak ada,sadness,huggingface,
aku tidak pernah merasa ragu karena kepercayaan ini ada di antara kita,trust,huggingface,
kesel maksimal setiap kali mau mulai proyek baru bahanbahan hobiku selalu kurang,anger,huggingface,
aku jijik dengan cara orang ini memperlakukan temantemannya di tempat umum,disgust,huggingface,
marah banget karena dunia ini lebih mendukung kepalsuan daripada kebenaran,anger,huggingface,
kegagalan ini bikin semua kerja keras terasa siasia,sadness,huggingface,
rasanya gugup banget nunggu kiriman buku hobi baru yang aku pesan,anticipation,huggingface,
setiap kata yang kamu ucapkan membuktikan ketulusan hatimu,trust,huggingface,
setiap keputusan yang kita buat adalah langkah menuju masa depan yang lebih baik,trust,huggingface,
rasanya gak adil setelah semua usaha hubungan ini tetap berakhir,sadness,huggingface,
