normalize_text;teks_no_stop;teks_final;label;label_id
kamu adalah alasan mengapa aku bisa merasa tenang dalam situasi sulit;kamu alasan aku merasa tenang situasi sulit;kamu alas aku rasa tenang situasi sulit;trust;6
aku merasa bahagia ketika bisa memeluk orang yang aku sayang setelah sekian lama berpisah;aku merasa bahagia bisa memeluk orang aku sayang sekian lama berpisah;aku rasa bahagia bisa peluk orang aku sayang sekian lama pisah;joy;4
tidak habis pikir kenapa orang lain bisa hidup tenang sementara aku terus berjuang;habis pikir orang bisa hidup tenang aku terus berjuang;habis pikir orang bisa hidup tenang aku terus juang;anger;0
udah gak kuat lagi rasanya;tidak kuat rasanya;tidak kuat rasa;sadness;5
ingin banget bisa hidup tanpa mikirin uang terusterusan;banget hidup mikirin uang terusterusan;banget hidup mikirin uang terusterusan;sadness;5
kehilangan sesuatu yang udah jadi rutinitas itu benarbenar sulit;kehilangan yang jadi rutinitas benarbenar sulit;hilang yang jadi rutinitas benarbenar sulit;sadness;5
takut buat jadi diri sendiri karena takut tidak diterima sama orang lain;takut buat jadi diri sendiri takut diterima sama orang;takut buat jadi diri sendiri takut terima sama orang;fear;3
jijik lihat orang meludah sembarangan di jalan raya;jijik lihat orang meludah sembarangan jalan raya;jijik lihat orang ludah sembarang jalan raya;disgust;2
kesel banget barangnya tidak berfungsi seperti yang dijanjikan;kesel banget barangnya berfungsi yang dijanjikan;kesel banget barang fungsi yang janji;anger;0
tidak sabar buat lihat bagaimana reaksinya nanti setelah semua terungkap;sabar buat lihat bagaimana reaksinya setelah semua terungkap;sabar buat lihat bagaimana reaksi telah semua ungkap;anticipation;1
rasanya tidak kuat lagi ingin tahu jawabannya sekarang juga;rasanya kuat ingin tahu jawabannya sekarang;rasa kuat ingin tahu jawab sekarang;anticipation;1
rasa takut ini begitu kuat hingga membuatku merasa sangat lelah;rasa takut begitu kuat hingga membuatku merasa sangat lelah;rasa takut begitu kuat hingga buat rasa sangat lelah;fear;3
kebahagiaan kecil adalah ketika bisa tidur nyenyak setelah hari yang panjang;kebahagiaan kecil ketika tidur nyenyak hari panjang;bahagia kecil ketika tidur nyenyak hari panjang;joy;4
gugup nunggu apakah perubahan ini akan membawa hidupku ke arah yang lebih baik;gugup nunggu perubahan akan membawa hidupku arah lebih baik;gugup nunggu ubah akan bawa hidup arah lebih baik;anticipation;1
kehilangan sesuatu yang selalu ada di sampingmu itu menghancurkan;kehilangan yang selalu di sampingmu menghancurkan;hilang yang selalu di samping hancur;sadness;5
denger lagu di radio yang dulu sering diputerin mantan jadi flashback masa lalu;denger lagu radio dulu sering diputerin mantan jadi flashback masa lalu;denger lagu radio dulu sering diputerin mantan jadi flashback masa lalu;sadness;5
kepercayaan ini mengajarkan kita untuk selalu mendukung satu sama lain;kepercayaan mengajarkan untuk selalu mendukung satu sama;percaya ajar untuk selalu dukung satu sama;trust;6
rasanya bahagia banget bisa membantu rekan kerja menyelesaikan tugas mereka;rasanya bahagia banget membantu rekan kerja menyelesaikan tugas;rasa bahagia banget bantu rekan kerja selesai tugas;joy;4
tidak tahan lihat orang buang sampah sembarangan di mal;tahan lihat orang buang sampah sembarangan mal;tahan lihat orang buang sampah sembarang mal;disgust;2
makan siang di taman sambil menikmati udara segar bikin suasana hati lebih baik;makan siang taman menikmati udara segar membuat suasana hati lebih baik;makan siang taman nikmat udara segar buat suasana hati lebih baik;joy;4
hari ini aku merasa bahagia karena bisa membuat seseorang tersenyum;hari aku merasa bahagia bisa membuat seseorang tersenyum;hari aku rasa bahagia bisa buat orang senyum;joy;4
aku takut bahwa semua yang aku impikan akan hancur begitu saja;aku takut semua aku impikan hancur saja;aku takut semua aku impi hancur saja;fear;3
rasanya seperti tidak ada yang bisa menenangkan rasa takut ini;rasanya tidak yang menenangkan rasa takut;rasa tidak yang tenang rasa takut;fear;3
rasa takut ini begitu besar hingga membuatku merasa seperti tidak ada harapan;rasa takut begitu besar hingga membuatku merasa tidak harapan;rasa takut begitu besar hingga buat rasa tidak harap;fear;3
lihat orang korek korek gigi pakai tusuk gigi di depan umum;lihat orang korek korek gigi pakai tusuk gigi depan umum;lihat orang korek korek gigi pakai tusuk gigi depan umum;disgust;2
marah banget karena tidak ada kejelasan dari atasan soal proyek ini;marah banget tidak kejelasan atasan soal proyek;marah banget tidak jelas atas soal proyek;anger;0
rasa takut gagal bikin aku sering ragu buat ambil risiko;rasa takut gagal membuat aku sering ragu buat ambil risiko;rasa takut gagal buat aku sering ragu buat ambil risiko;fear;3
gak pernah siap untuk kehilangan sesuatu yang berarti seperti ini;pernah siap kehilangan yang berarti ini;pernah siap hilang yang arti ini;sadness;5
aku yakin dengan semua yang kita impikan karena kita saling percaya;aku yakin semua kita impikan kita saling percaya;aku yakin semua kita impi kita saling percaya;trust;6
aku merasa sangat bahagia karena hari ini bisa makan malam di restoran favorit;aku merasa sangat bahagia hari bisa makan malam restoran favorit;aku rasa sangat bahagia hari bisa makan malam restoran favorit;joy;4
dunia ini penuh dengan ketidakadilan dan kesedihan yang gak pernah berakhir;dunia penuh ketidakadilan kesedihan tidak pernah berakhir;dunia penuh ketidakadilan sedih tidak pernah akhir;sadness;5
sering takut kalau pilihan yang aku ambil sekarang akan berdampak buruk di masa depan;sering takut kalau pilihan aku ambil sekarang berdampak buruk masa depan;sering takut kalau pilih aku ambil sekarang dampak buruk masa depan;fear;3
setiap hari terasa lebih berat tanpa hubungan yang dulu pernah jadi tempat aku bersandar;hari terasa lebih berat hubungan dulu pernah jadi tempat aku bersandar;hari asa lebih berat hubung dulu pernah jadi tempat aku sandar;sadness;5
rasa takut ini membuatku merasa seperti semua yang aku lakukan tidak akan pernah cukup baik;rasa takut membuatku merasa semua aku lakukan akan pernah cukup baik;rasa takut buat rasa semua aku laku akan pernah cukup baik;fear;3
marah banget karena banyak karakter di buku ini yang ditinggalkan tanpa penyelesaian;marah banget banyak karakter buku yang ditinggalkan penyelesaian;marah banget banyak karakter buku yang tinggal selesai;anger;0
rasanya kosong banget setelah tahu semua usahaku siasia;rasanya kosong banget tahu semua usahaku siasia;rasa kosong banget tahu semua usaha siasia;sadness;5
kepercayaan ini memberi arti baru pada setiap pengalaman yang kita lalui;kepercayaan memberi arti baru setiap pengalaman kita lalui;percaya beri arti baru tiap alam kita lalu;trust;6
momen bahagia adalah ketika bisa bersantai tanpa beban pikiran;momen bahagia ketika bersantai beban pikiran;momen bahagia ketika santa beban pikir;joy;4
ingin bantu keluarga tapi kondisi keuangan sendiri aja udah kacau;bantu keluarga kondisi keuangan sendiri aja kacau;bantu keluarga kondisi uang sendiri aja kacau;sadness;5
bermain game petualangan selalu bikin hati ini senang;bermain game petualangan selalu membuat hati senang;main game tualang selalu buat hati senang;joy;4
tidak tahan lagi nunggu kabar dari mereka semoga segera datang;tahan nunggu kabar mereka semoga segera datang;tahan nunggu kabar mereka moga segera datang;anticipation;1
rasanya senang banget buat mulai koleksi mainan yang baru aku temukan;rasanya senang banget buat mulai koleksi mainan baru aku temukan;rasa senang banget buat mulai koleksi main baru aku temu;anticipation;1
tidak habis pikir kenapa orang lain santaisantai sedangkan aku kerja matimatian;habis pikir orang santaisantai aku kerja matimatian;habis pikir orang santaisantai aku kerja matimatian;anger;0
aku merasa takut setiap kali harus membuat keputusan besar dalam hidup;aku merasa takut kali membuat keputusan besar hidup;aku rasa takut kali buat putus besar hidup;fear;3
tidak tahan sama orang yang batuk di tempat umum tanpa menutup mulut;tahan sama orang batuk tempat umum menutup mulut;tahan sama orang batuk tempat umum tutup mulut;disgust;2
rasa takut ini membuatku merasa seperti aku tidak pernah bisa keluar dari ketakutan ini;rasa takut membuatku merasa aku pernah keluar ketakutan;rasa takut buat rasa aku pernah keluar takut;fear;3
aku percaya kamu adalah orang yang tepat untuk mendampingiku;aku percaya kamu orang tepat mendampingiku;aku percaya kamu orang tepat damping;trust;6
marah banget karena hitam yang aku beli tidak sesuai deskripsi di game;marah banget hitam aku beli sesuai deskripsi game;marah banget hitam aku beli sesuai deskripsi game;anger;0
aku percaya sepenuhnya bahwa kamu akan memberikan yang terbaik di setiap kesempatan;aku percaya sepenuhnya kamu memberikan terbaik setiap kesempatan;aku percaya sepenuh kamu beri baik tiap sempat;trust;6
melihat ketidakadilan terjadi di manamana bikin aku merasa gak punya harapan lagi;melihat ketidakadilan terjadi manamana membuat aku merasa punya harapan;lihat ketidakadilan jadi manamana buat aku rasa punya harap;sadness;5
tidak tahan lagi sama barang ini yang bikin aku rugi karena cepat rusak;tahan sama barang yang membuat aku rugi cepat rusak;tahan sama barang yang buat aku rugi cepat rusak;anger;0
takut banget kalau mimpimimpi yang aku kejar ternyata terlalu tinggi;takut banget kalau mimpimimpi aku kejar ternyata terlalu tinggi;takut banget kalau mimpimimpi aku kejar nyata terlalu tinggi;fear;3
tidak tahan lagi nunggu meeting besar yang akan nentuin masa depan proyek;tahan nunggu meeting besar akan nentuin masa depan proyek;tahan nunggu meeting besar akan nentuin masa depan proyek;anticipation;1
rasa takut bikin aku sering nunda halhal yang sebenarnya penting buat masa depanku;rasa takut membuat aku sering nunda halhal sebenarnya penting buat masa depanku;rasa takut buat aku sering nunda halhal benar penting buat masa depan;fear;3
udah kepikiran banget tentang apa yang akan terjadi besok;kepikiran banget apa akan terjadi besok;pikir banget apa akan jadi besok;anticipation;1
jijik banget lihat orang makan sambil bicara dengan mulut penuh;jijik banget lihat orang makan bicara mulut penuh;jijik banget lihat orang makan bicara mulut penuh;disgust;2
bahagia itu ketika bisa melakukan hal yang aku sukai tanpa terburuburu;bahagia ketika melakukan yang aku sukai terburuburu;bahagia ketika laku yang aku suka terburuburu;joy;4
menghabiskan waktu dengan menulis cerita membuatku merasa begitu bahagia;menghabiskan waktu menulis cerita membuatku merasa bahagia;habis waktu tulis cerita buat rasa bahagia;joy;4
tidak sabar buat quality time bareng dia minggu ini;sabar buat quality time bareng minggu;sabar buat quality time bareng minggu;anticipation;1
rasanya dunia ini cuma peduli sama yang kuat sementara yang lemah terus tertindas;rasanya dunia cuma peduli sama kuat yang lemah terus tertindas;rasa dunia cuma peduli sama kuat yang lemah terus tindas;sadness;5
tidak sabar buat merasakan berkah yang melimpah di hari suci yang sebentar lagi tiba;sabar buat merasakan berkah melimpah hari suci sebentar tiba;sabar buat rasa berkah limpah hari suci sebentar tiba;anticipation;1
tidak bisa berhenti mikirin hari suci ini rasanya semakin mendebarkan;bisa berhenti mikirin hari suci rasanya semakin mendebarkan;bisa henti mikirin hari suci rasa makin debar;anticipation;1
kegagalan ini bikin semua harapan dan impian sirna seketika;kegagalan membuat semua harapan impian sirna seketika;gagal buat semua harap impi sirna ketika;sadness;5
setiap momen bersamamu menambah keyakinanku pada hubungan ini;momen bersamamu menambah keyakinanku hubungan;momen sama tambah yakin hubung;trust;6
aku udah capek bilang berkalikali tapi kamu tetap tidak berubah;aku capek bilang berkalikali kamu tetap berubah;aku capek bilang berkalikali kamu tetap ubah;anger;0
aku merasa bahagia bisa menyelesaikan puzzle yang rumit;aku merasa bahagia menyelesaikan puzzle rumit;aku rasa bahagia selesai puzzle rumit;joy;4
pikiranku terus ke ibadah dan refleksi yang akan aku jalani di hari suci nanti;pikiranku terus ibadah refleksi akan aku jalani hari suci;pikir terus ibadah refleksi akan aku jalan hari suci;anticipation;1
semoga bumi kita selalu terjaga;semoga bumi selalu terjaga;moga bumi selalu jaga;sadness;5
rasanya bahagia ketika bisa menyelesaikan pekerjaan lebih cepat dari yang diharapkan;rasanya bahagia bisa menyelesaikan pekerjaan lebih cepat yang diharapkan;rasa bahagia bisa selesai kerja lebih cepat yang harap;joy;4
rasa takut bikin aku sering tidak percaya sama kemampuan diri sendiri;rasa takut membuat aku sering percaya sama kemampuan diri sendiri;rasa takut buat aku sering percaya sama mampu diri sendiri;fear;3
rasanya ingin cepat tahu bagaimana hasil proyek yang udah aku kerjain selama ini;rasanya cepat tahu bagaimana hasil proyek sudah aku kerjain selama;rasa cepat tahu bagaimana hasil proyek sudah aku kerjain lama;anticipation;1
rasanya seperti dihantui rasa penasaran sepanjang hari;rasanya dihantui rasa penasaran sepanjang hari;rasa hantu rasa penasaran panjang hari;anticipation;1
ayah adalah pahlawanku dan kehilangan beliau meninggalkan luka yang dalam;ayah pahlawanku kehilangan beliau meninggalkan luka dalam;ayah pahlawan hilang beliau tinggal luka dalam;sadness;5
marah banget karena hidup ini selalu menempatkan aku dalam situasi yang sulit;marah banget hidup selalu menempatkan aku situasi sulit;marah banget hidup selalu tempat aku situasi sulit;anger;0
rasanya bahagia banget bisa menang di turnamen game bersama tim;rasanya bahagia banget menang turnamen game bersama tim;rasa bahagia banget menang turnamen game sama tim;joy;4
rasanya bahagia banget bisa produktif sepanjang hari di tempat kerja;rasanya bahagia banget produktif sepanjang hari tempat kerja;rasa bahagia banget produktif panjang hari tempat kerja;joy;4
jijik banget lihat orang yang makan sambil batuk tanpa menutup mulut;jijik banget lihat orang makan batuk menutup mulut;jijik banget lihat orang makan batuk tutup mulut;disgust;2
selalu ada perasaan takut yang tidak bisa hilang meski aku mencoba melawannya;selalu perasaan takut tidak hilang meski aku mencoba melawannya;selalu asa takut tidak hilang meski aku coba lawan;fear;3
setiap pengalaman bersamamu membuatku semakin yakin;pengalaman bersamamu membuatku semakin yakin;alam sama buat makin yakin;trust;6
aku yakin kita bisa menemukan jalan terbaik untuk hubungan ini;aku yakin bisa menemukan jalan terbaik hubungan;aku yakin bisa temu jalan baik hubung;trust;6
berhasil mengatasi tantangan di tempat kerja bikin aku merasa bangga dan bahagia;berhasil mengatasi tantangan tempat kerja membuat aku merasa bangga bahagia;hasil atas tantang tempat kerja buat aku rasa bangga bahagia;joy;4
berjalanjalan di alam terbuka hari ini bikin hatiku merasa bebas dan bahagia;berjalanjalan alam terbuka hari membuat hatiku merasa bebas bahagia;berjalanjalan alam buka hari buat hati rasa bebas bahagia;joy;4
rasanya bahagia bisa menikmati hidangan sederhana tapi lezat;rasanya bahagia menikmati hidangan sederhana lezat;rasa bahagia nikmat hidang sederhana lezat;joy;4
rasanya gak pernah dapat kasih sayang yang cukup dari orangorang di sekitarku;rasanya pernah kasih sayang cukup orangorang sekitarku;rasa pernah kasih sayang cukup orangorang sekitar;sadness;5
kesel maksimal karena warna barang yang dikirim tidak sesuai pilihan;kesel maksimal warna barang dikirim sesuai pilihan;kesel maksimal warna barang kirim sesuai pilih;anger;0
jijik banget lihat orang buang sampah sembarangan di taman kota;jijik banget lihat orang buang sampah sembarangan taman kota;jijik banget lihat orang buang sampah sembarang taman kota;disgust;2
ingin cepat tahu bagaimana respon klien setelah melihat proposal kita;cepat tahu bagaimana respon klien melihat proposal;cepat tahu bagaimana respon klien lihat proposal;anticipation;1
dunia ini gak pernah memberi ruang buat orang yang ingin hidup damai;dunia tidak pernah memberi ruang buat orang ingin hidup damai;dunia tidak pernah beri ruang buat orang ingin hidup damai;sadness;5
aku tidak tahan lihat kondisi dapur ini yang jorok banget;aku tahan lihat kondisi dapur yang jorok banget;aku tahan lihat kondisi dapur yang jorok banget;disgust;2
ingin cepat dapat jawabannya biar tidak penasaran terus;cepat jawabannya biar penasaran terus;cepat jawab biar penasaran terus;anticipation;1
rasanya bahagia bisa mengatur waktu dengan baik sehingga semua tugas selesai tepat waktu;rasanya bahagia mengatur waktu baik semua tugas selesai tepat waktu;rasa bahagia atur waktu baik semua tugas selesai tepat waktu;joy;4
tidak ngerti kenapa kamu tidak pernah mau mengerti sudut pandangku;ngerti kamu pernah mau mengerti sudut pandangku;ngerti kamu pernah mau erti sudut pandang;anger;0
tidak tahan lagi sama kekecewaan yang datang setelah ngejalanin hobiku;tahan sama kekecewaan datang ngejalanin hobiku;tahan sama kecewa datang ngejalanin hobi;anger;0
serius  lihat sepatu penuh lumpur diletakkan di dalam rumah bikin kesel;serius lihat sepatu penuh lumpur diletakkan dalam rumah membuat kesel;serius lihat sepatu penuh lumpur letak dalam rumah buat kesel;disgust;2
kehilangan ayah itu gak bisa dijelaskan dengan katakata rasanya sangat menyakitkan;kehilangan ayah tidak dijelaskan katakata rasanya sangat menyakitkan;hilang ayah tidak jelas katakata rasa sangat sakit;sadness;5
rasa takut ini membuatku merasa seperti tidak ada yang pasti dalam hidup ini;rasa takut membuatku merasa tidak yang dalam hidup;rasa takut buat rasa tidak yang dalam hidup;fear;3
tidak tahan sama bau badan orang di gym ini;tahan sama bau badan orang gym;tahan sama bau badan orang gym;disgust;2
semakin hari semakin tidak sabar buat menyambut momen penuh kedamaian dan pengampunan;semakin hari semakin sabar buat menyambut momen penuh kedamaian pengampunan;makin hari makin sabar buat sambut momen penuh damai ampun;anticipation;1
marah banget karena semua usaha untuk mewujudkan keinginan ini selalu gagal;marah banget semua usaha mewujudkan keinginan selalu gagal;marah banget semua usaha wujud ingin selalu gagal;anger;0
kesel maksimal karena dunia ini penuh dengan kebohongan dan kemunafikan;kesel maksimal dunia penuh kebohongan kemunafikan;kesel maksimal dunia penuh bohong munafik;anger;0
aku merasa bahagia banget bisa melanjutkan progress game setelah lama absen;aku merasa bahagia banget melanjutkan progress game lama absen;aku rasa bahagia banget lanjut progress game lama absen;joy;4
aku percaya padamu karena kamu selalu menunjukkan integritas dan kejujuran;aku percaya padamu kamu selalu menunjukkan integritas kejujuran;aku percaya pada kamu selalu tunjuk integritas jujur;trust;6
jijik banget lihat orang bersin tanpa menutup mulut sangat tidak sopan;jijik banget lihat orang bersin menutup mulut sangat sopan;jijik banget lihat orang bersin tutup mulut sangat sopan;disgust;2
rasa takut ini seperti bayangan yang selalu mengikuti kemanapun aku pergi;rasa takut seperti bayangan selalu mengikuti kemanapun aku pergi;rasa takut seperti bayang selalu ikut mana aku pergi;fear;3
tidak tahan lagi sama barang ini yang udah dua kali rusak dalam seminggu;tahan sama barang yang dua kali rusak seminggu;tahan sama barang yang dua kali rusak minggu;anger;0
serius tidak habis pikir sama orang yang tidak cuci tangan setelah dari toilet;serius habis pikir sama orang tidak cuci tangan dari toilet;serius habis pikir sama orang tidak cuci tangan dari toilet;disgust;2
semakin dekat dengan harinya semakin senang tapi juga nervous;semakin dekat harinya semakin senang juga nervous;makin dekat hari makin senang juga nervous;anticipation;1
hidup di bawah tekanan ekonomi itu melelahkan gak tau sampai kapan bisa bertahan;hidup bawah tekanan ekonomi melelahkan tau kapan bertahan;hidup bawah tekan ekonomi lelah tau kapan tahan;sadness;5
tidak tahan lagi ingin lihat bagaimana semuanya akan terjadi;tahan ingin lihat bagaimana semuanya terjadi;tahan ingin lihat bagaimana semua jadi;anticipation;1
marah banget karena ukuran barang yang datang jauh lebih kecil dari yang dijelaskan;marah banget ukuran barang datang jauh lebih kecil yang dijelaskan;marah banget ukur barang datang jauh lebih kecil yang jelas;anger;0
kebahagiaan itu saat bisa bangun pagi dengan perasaan penuh energi dan antusiasme;kebahagiaan saat bangun pagi perasaan penuh energi antusiasme;bahagia saat bangun pagi asa penuh energi antusiasme;joy;4
rasanya bahagia banget bisa menikmati brunch di tempat yang cozy;rasanya bahagia banget menikmati brunch tempat cozy;rasa bahagia banget nikmat brunch tempat cozy;joy;4
setiap langkah kecil yang kita ambil adalah bukti dari rasa percaya ini;langkah kecil kita ambil bukti rasa percaya;langkah kecil kita ambil bukti rasa percaya;trust;6
hubungan yang dulu indah sekarang hanya tinggal kenangan yang menyakitkan;hubungan dulu indah sekarang tinggal kenangan menyakitkan;hubung dulu indah sekarang tinggal kenang sakit;sadness;5
rasanya tidak tahan lagi ingin cepat mewujudkan impian terbesar ini;rasanya tahan ingin cepat mewujudkan impian terbesar;rasa tahan ingin cepat wujud impi besar;anticipation;1
aku merasa takut setiap kali memikirkan apa yang mungkin terjadi ke depannya;aku merasa takut kali memikirkan apa mungkin terjadi depannya;aku rasa takut kali pikir apa mungkin jadi depan;fear;3
gak tau bagaimana caranya ngerasain kasih sayang yang tulus dari orang lain;tau bagaimana caranya ngerasain kasih sayang tulus orang;tau bagaimana cara ngerasain kasih sayang tulus orang;sadness;5
marah banget karena karakter favorit aku dinerf habishabisan setelah update;marah banget karakter favorit aku dinerf habishabisan update;marah banget karakter favorit aku dinerf habishabisan update;anger;0
bisa menyelesaikan target hari ini lebih cepat rasanya bahagia luar biasa;menyelesaikan target hari lebih cepat rasanya bahagia luar biasa;selesai target hari lebih cepat rasa bahagia luar biasa;joy;4
rasanya hati ini penuh harapan menyambut hari suci yang membawa kedamaian;rasanya hati penuh harapan menyambut hari suci membawa kedamaian;rasa hati penuh harap sambut hari suci bawa damai;anticipation;1
aku merasa bahagia saat bisa mendengarkan cerita lucu dari temantemanku;aku merasa bahagia bisa mendengarkan cerita lucu temantemanku;aku rasa bahagia bisa dengar cerita lucu temantemanku;joy;4
gak ada gunanya hidup;ada gunanya hidup;ada guna hidup;sadness;5
rasanya bahagia bisa menyelesaikan tugas sambil menikmati secangkir kopi;rasanya bahagia menyelesaikan tugas menikmati secangkir kopi;rasa bahagia selesai tugas nikmat cangkir kopi;joy;4
marah banget karena hidup ini kayaknya tidak pernah kasih aku kesempatan;marah banget hidup kayaknya pernah kasih aku kesempatan;marah banget hidup kayak pernah kasih aku sempat;anger;0
bahagia itu ketika bisa menikmati pagi yang tenang sambil mendengarkan suara burung;bahagia ketika menikmati pagi tenang mendengarkan suara burung;bahagia ketika nikmat pagi tenang dengar suara burung;joy;4
perasaan takut ini begitu besar hingga sulit untuk menjalani hari;perasaan takut begitu besar hingga sulit menjalani hari;asa takut begitu besar hingga sulit jalan hari;fear;3
aku merasa sangat bahagia bisa mengalahkan teman di mode versus;aku merasa sangat bahagia mengalahkan teman mode versus;aku rasa sangat bahagia kalah teman mode versus;joy;4
rasanya gak ada tempat buat orang baik di dunia yang penuh kebencian ini;rasanya ada tempat buat orang baik dunia penuh kebencian;rasa ada tempat buat orang baik dunia penuh benci;sadness;5
kepercayaan ini membuat hubungan kita semakin erat dan penuh cinta;kepercayaan membuat hubungan semakin erat penuh cinta;percaya buat hubung makin erat penuh cinta;trust;6
sering takut ngecewain orang lain padahal diri sendiri udah cape banget;sering takut ngecewain orang padahal diri sendiri cape banget;sering takut ngecewain orang padahal diri sendiri cape banget;fear;3
aku masih ngerasa kosong sejak kepergiannya;aku ngerasa kosong sejak kepergiannya;aku ngerasa kosong sejak pergi;sadness;5
marah banget karena setiap mimpi yang aku kejar selalu berakhir dengan kekecewaan;marah banget setiap mimpi aku kejar selalu berakhir kekecewaan;marah banget tiap mimpi aku kejar selalu akhir kecewa;anger;0
kadang ngerasa hidup ini gak adil ekonomi terus menekan sementara usaha udah maksimal;kadang ngerasa hidup tidak adil ekonomi terus menekan usaha maksimal;kadang ngerasa hidup tidak adil ekonomi terus tekan usaha maksimal;sadness;5
rasa takut bikin aku sering overanalyze setiap situasi sampai akhirnya tidak bertindak;rasa takut membuat aku sering overanalyze situasi akhirnya bertindak;rasa takut buat aku sering overanalyze situasi akhir tindak;fear;3
rasanya mau skip hari ini langsung ke besok buat tahu hasilnya;rasanya mau skip hari langsung besok buat tahu hasilnya;rasa mau skip hari langsung besok buat tahu hasil;anticipation;1
kadang takut buat merasakan bahagia karena takut kebahagiaan itu tidak bertahan lama;kadang takut buat merasakan bahagia takut kebahagiaan tidak bertahan lama;kadang takut buat rasa bahagia takut bahagia tidak tahan lama;fear;3
rasanya senang tapi juga nervous nunggu perubahan ini terjadi;rasanya senang juga nervous nunggu perubahan terjadi;rasa senang juga nervous nunggu ubah jadi;anticipation;1
gak ada yang lebih bikin stres selain lihat tagihan terus datang tapi uang gak ada;ada lebih membuat stres lihat tagihan terus datang uang ada;ada lebih buat stres lihat tagih terus datang uang ada;sadness;5
tidak sabar banget nunggu acara besok pasti akan seru;sabar banget nunggu acara besok akan seru;sabar banget nunggu acara besok akan seru;anticipation;1
gak ada yang lebih menyedihkan daripada hidup di dunia yang kejam;ada lebih menyedihkan hidup dunia kejam;ada lebih sedih hidup dunia kejam;sadness;5
rasanya bahagia bisa menyelesaikan presentasi penting dengan sukses;rasanya bahagia menyelesaikan presentasi penting sukses;rasa bahagia selesai presentasi penting sukses;joy;4
rasa takut ini begitu kuat hingga membuatku sulit untuk menjalani hari dengan tenang;rasa takut begitu kuat hingga membuatku sulit menjalani hari tenang;rasa takut begitu kuat hingga buat sulit jalan hari tenang;fear;3
ngitung jam terus karena ingin cepat sampai ke malam doa di hari suci nanti;ngitung jam terus ingin cepat ke malam doa hari suci;ngitung jam terus ingin cepat ke malam doa hari suci;anticipation;1
kadang ngerasa dunia ini gak adil kenapa aku selalu gagal;kadang ngerasa dunia tidak adil aku selalu gagal;kadang ngerasa dunia tidak adil aku selalu gagal;sadness;5
aku yakin kamu akan selalu mendengarkan dan menghargai pendapatku;aku yakin kamu selalu mendengarkan menghargai pendapatku;aku yakin kamu selalu dengar harga dapat;trust;6
takut kehilangan orang yang aku sayang tapi tidak bisa bilang apaapa;takut kehilangan orang aku sayang tidak bilang apaapa;takut hilang orang aku sayang tidak bilang apaapa;fear;3
gugup banget nunggu jawaban dia soal rencana liburan bareng;gugup banget nunggu jawaban soal rencana liburan bareng;gugup banget nunggu jawab soal rencana libur bareng;anticipation;1
setiap langkah yang kamu ambil selalu membuatku semakin percaya padamu;langkah kamu ambil selalu membuatku semakin percaya padamu;langkah kamu ambil selalu buat makin percaya pada;trust;6
tidak tahan lagi sama penulis yang bikin endingnya jadi terlalu menggantung;tahan sama penulis membuat endingnya jadi terlalu menggantung;tahan sama tulis buat endingnya jadi terlalu gantung;anger;0
kesel banget udah nunggu barang datang lama banget tapi hasilnya mengecewakan;kesel banget nunggu barang datang lama banget hasilnya mengecewakan;kesel banget nunggu barang datang lama banget hasil kecewa;anger;0
bahagia itu ketika bisa menolong orang lain tanpa pamrih;bahagia ketika menolong orang tanpa pamrih;bahagia ketika tolong orang tanpa pamrih;joy;4
rasanya bahagia bisa makan hidangan ringan sambil ngobrol santai dengan teman;rasanya bahagia makan hidangan ringan ngobrol santai teman;rasa bahagia makan hidang ringan ngobrol santai teman;joy;4
bermain game multiplayer selalu bikin aku tertawa dan bahagia;bermain game multiplayer selalu membuat aku tertawa bahagia;main game multiplayer selalu buat aku tertawa bahagia;joy;4
rasa takut ini begitu besar hingga membuatku sulit untuk menjalani hari hari;rasa takut begitu besar hingga membuatku sulit menjalani hari hari;rasa takut begitu besar hingga buat sulit jalan hari hari;fear;3
setiap pengalaman bersamamu membuatku semakin yakin pada hubungan ini;pengalaman bersamamu membuatku semakin yakin hubungan;alam sama buat makin yakin hubung;trust;6
semakin dekat hari suci semakin tidak sabar buat ikut ritual yang hanya dilakukan setahun sekali;semakin dekat hari suci semakin sabar buat ikut ritual hanya dilakukan setahun sekali;makin dekat hari suci makin sabar buat ikut ritual hanya laku tahun sekali;anticipation;1
setiap momen bersamamu membuatku merasa tenang;momen bersamamu membuatku merasa tenang;momen sama buat rasa tenang;trust;6
gagal lagi rasanya capek banget buat bangkit;gagal rasanya capek banget buat bangkit;gagal rasa capek banget buat bangkit;sadness;5
ingin cepat tahu apa yang akan terjadi minggu depan;cepat tahu apa akan terjadi minggu depan;cepat tahu apa akan jadi minggu depan;anticipation;1
marah banget karena story mode game ini terlalu pendek dan tidak menarik;marah banget story mode game terlalu pendek tidak menarik;marah banget story mode game terlalu pendek tidak tarik;anger;0
gak tau harus cerita ke siapa;tau cerita siapa;tau cerita siapa;sadness;5
aku percaya kita akan terus maju bersama meskipun ada hambatan;aku percaya akan terus maju bersama meskipun hambatan;aku percaya akan terus maju sama meski hambat;trust;6
rasanya capek banget berjuang terus tapi hasilnya gak sebanding;rasanya capek banget berjuang terus hasilnya sebanding;rasa capek banget juang terus hasil banding;sadness;5
