Jam Tidur Semalam,Seberapa Sibuk Anda Hari Ini (1-5),Seberapa Banyak Tugas/Pekerjaan (1-5),Suasana Hati Anda (1-5),Ceritakan Hari Anda Hari Ini,prob_anger,prob_anticipation,prob_disgust,prob_fear,prob_joy,prob_sadness,prob_trust,Emotion_Score,Wellbeing_Label
9,4,5,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin",0.021154,0.016644,0.024693,0.026289,0.022357,0.870453,0.01841,0.0139,High
5,3,2,4,alhamdulillah hari ini lancar banget ga ada hambatan,0.041489,0.035004,0.063993,0.043882,0.079221,0.668069,0.068343,0.1615,Medium
6,2,1,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu,0.146282,0.111395,0.080793,0.069047,0.127356,0.388461,0.076666,0.3182,Low
7,2,2,3,"mood on fire dari pagi, semua kerasa ringan",0.08791,0.08537,0.064207,0.057291,0.062344,0.584228,0.058651,0.1896,Low
5,2,1,5,"happy banget hari ini, banyak hal baik terjadi",0.140631,0.059319,0.056978,0.076419,0.401344,0.152741,0.112568,0.6222,Low
6,3,2,5,"pulang lebih awal, sempet me time yang udah lama kangen",0.038209,0.163969,0.055641,0.05432,0.086145,0.572109,0.029608,0.2761,Low
7,2,1,5,"pikiran jernih banget hari ini, bisa fokus full",0.106758,0.143275,0.081344,0.09353,0.377228,0.120729,0.077136,0.651,Low
2,4,5,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget",0.026757,0.019572,0.045552,0.034192,0.025676,0.829671,0.01858,0.0215,High
4,5,4,1,"emotional banget hari ini, gampang baper sama hal kecil",0.342511,0.067375,0.054519,0.094682,0.131715,0.254727,0.05447,0.2452,Low
6,1,1,4,"hari ini berasa ringan banget, kayak abis lepas beban",0.063393,0.024427,0.042557,0.041492,0.035056,0.758798,0.034277,0.0568,Medium
11,2,2,3,"hari ini biasa aja sih, gak ada yang spesial",0.032349,0.028633,0.028528,0.027875,0.032159,0.821975,0.028481,0.0515,Medium
8,5,5,1,"bad day banget, hampir nangis beberapa kali hari ini",0.058515,0.031287,0.036904,0.037579,0.033594,0.766473,0.035648,0.0647,Medium
9,3,4,3,"gak mood sama sekali, males banget ngapa-ngapain hari ini",0.077964,0.072236,0.056911,0.055063,0.029881,0.6751,0.032845,0.1054,Medium
7,3,3,4,overthinking dikit tapi masih bisa dikendaliin untungnya,0.029412,0.013954,0.027164,0.022354,0.019376,0.867048,0.020691,0.0099,High
3,3,4,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu,0.146282,0.111395,0.080793,0.069047,0.127356,0.388461,0.076666,0.3182,Low
6,1,1,4,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang",0.022992,0.01656,0.033462,0.031275,0.039448,0.834493,0.02177,0.0379,High
5,3,2,1,pengen balik ke kasur dan ga keluar selamanya rasanya,0.017236,0.02992,0.043205,0.035066,0.022462,0.82932,0.022792,0.0348,High
6,3,4,2,"gak mood sama sekali, males banget ngapa-ngapain hari ini",0.077964,0.072236,0.056911,0.055063,0.029881,0.6751,0.032845,0.1054,Medium
7,1,1,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu,0.146282,0.111395,0.080793,0.069047,0.127356,0.388461,0.076666,0.3182,Low
9,1,1,4,ngerjain hal yang aku suka bikin waktu cepet banget berlalu,0.146282,0.111395,0.080793,0.069047,0.127356,0.388461,0.076666,0.3182,Low
3,2,2,5,"happy banget hari ini, banyak hal baik terjadi",0.140631,0.059319,0.056978,0.076419,0.401344,0.152741,0.112568,0.6222,Low
8,3,3,3,"gak banyak drama hari ini, adem ayem aja",0.029782,0.029663,0.032912,0.028134,0.024894,0.824984,0.029631,0.0455,Medium
2,2,1,4,"produktif parah hari ini, kayak mesin yang ga berhenti",0.116051,0.032125,0.090453,0.040518,0.030326,0.642272,0.048256,0.0768,Medium
8,3,3,3,"waktu terasa lambat, tapi akhirnya selesai juga hari ini",0.082441,0.265943,0.053653,0.073038,0.084124,0.4078,0.033001,0.3979,Low
7,3,2,3,cuaca cerah bikin hati ikutan happy ga keruan,0.073847,0.153029,0.101279,0.060833,0.411911,0.134017,0.065085,0.6892,Low
6,4,3,1,"hari ini drama banget, banyak hal yang salah semua",0.098001,0.03134,0.03665,0.053587,0.049491,0.676758,0.054173,0.1054,Medium
8,2,1,4,"pikiran jernih banget hari ini, bisa fokus full",0.106758,0.143275,0.081344,0.09353,0.377228,0.120729,0.077136,0.651,Low
4,5,5,3,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus",0.130594,0.032456,0.054179,0.059653,0.050975,0.615156,0.056986,0.1118,Medium
4,3,2,4,ngerasa punya achievement kecil tapi berarti banget buat aku,0.021886,0.014424,0.023662,0.023485,0.023205,0.867903,0.025435,0.0206,High
11,5,5,2,ngerasa gak ada yang ngerti apa yang aku rasain hari ini,0.026695,0.020892,0.026215,0.028303,0.025964,0.845789,0.026141,0.0323,High
8,5,5,3,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif",0.018107,0.025364,0.037677,0.023377,0.015985,0.864621,0.014869,0.0125,High
10,2,3,1,pengen kabur dari semua tanggung jawab ini sesaat aja,0.026094,0.029023,0.022403,0.032017,0.020122,0.850805,0.019535,0.0272,High
6,3,2,3,"gak tau mau bilang apa, rasanya ya begitulah",0.035322,0.031401,0.028004,0.036089,0.023088,0.812479,0.033615,0.0501,Medium
5,1,1,4,seneng bgt dapet nilai bagus pas ujian tadi,0.072331,0.047316,0.09944,0.080541,0.371034,0.27263,0.056708,0.5064,Low
7,5,5,1,pengen kabur dari semua tanggung jawab ini sesaat aja,0.026094,0.029023,0.022403,0.032017,0.020122,0.850805,0.019535,0.0272,High
6,3,2,4,ngerasa punya achievement kecil tapi berarti banget buat aku,0.021886,0.014424,0.023662,0.023485,0.023205,0.867903,0.025435,0.0206,High
8,4,5,2,"overthinking parah tadi malem, jadinya kurang tidur dan lesu",0.077345,0.039237,0.094275,0.06,0.022346,0.678681,0.028116,0.052,Medium
9,5,4,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang,0.032783,0.02556,0.032248,0.025429,0.024138,0.835779,0.024062,0.0332,High
11,4,3,4,"ngikutin jadwal aja, autopilot mode sepanjang hari",0.125346,0.356637,0.090533,0.060084,0.047172,0.225948,0.094281,0.5336,Low
7,2,1,5,"kerjaan beres semua, sisa waktu buat rebahan tenang",0.034548,0.046712,0.048685,0.022859,0.037697,0.781425,0.028074,0.0788,Medium
9,3,3,3,"stress parah, deadline mepet semua barengan nyerang",0.151944,0.046955,0.039759,0.061057,0.028516,0.625551,0.046218,0.0897,Medium
5,4,3,3,"susah fokus banget, pikiran lari kemana-mana terus",0.04997,0.043851,0.03575,0.052471,0.021367,0.765149,0.031442,0.0602,Medium
5,1,1,4,belajar hal baru hari ini dan rasanya nagih banget,0.05937,0.139863,0.080421,0.06238,0.266827,0.354941,0.036198,0.4685,Low
10,4,5,2,"stress parah, deadline mepet semua barengan nyerang",0.151944,0.046955,0.039759,0.061057,0.028516,0.625551,0.046218,0.0897,Medium
3,3,3,1,"lelah fisik sama mental, dua-duanya udah di titik mentok",0.032763,0.022442,0.025848,0.031335,0.019704,0.843309,0.024599,0.0249,High
10,3,2,4,"hari ini penuh tawa, lupa sama capek dan penat",0.058421,0.061455,0.052343,0.057723,0.048341,0.68667,0.035046,0.117,Medium
8,1,2,5,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa",0.102439,0.045379,0.044787,0.042218,0.62799,0.088106,0.049081,0.7982,Low
5,3,2,3,"capek banget, tugas numpuk kayak ga ada habisnya",0.052521,0.029559,0.03967,0.03292,0.021333,0.795396,0.028601,0.0399,High
9,4,4,2,"gak tau mau bilang apa, rasanya ya begitulah",0.035322,0.031401,0.028004,0.036089,0.023088,0.812479,0.033615,0.0501,Medium
10,5,5,2,"anxious dari pagi, banyak hal yang bikin khawatir",0.058295,0.029452,0.057658,0.729715,0.021097,0.083853,0.01993,0.0293,High
4,2,1,4,belajar hal baru hari ini dan rasanya nagih banget,0.05937,0.139863,0.080421,0.06238,0.266827,0.354941,0.036198,0.4685,Low
12,5,5,3,"anxious dari pagi, banyak hal yang bikin khawatir",0.058295,0.029452,0.057658,0.729715,0.021097,0.083853,0.01993,0.0293,High
4,2,2,4,"hari ini chill tapi tetep produktif, perfect combo",0.182782,0.038217,0.101503,0.061371,0.115748,0.405965,0.094413,0.2391,Low
3,4,4,2,"gak banyak ngomong hari ini, lebih banyak mikir sendiri",0.038187,0.036325,0.029808,0.026486,0.028819,0.811945,0.02843,0.0565,Medium
6,3,2,4,kerja keras dikit tapi hasilnya ya segitu-gitu aja,0.033866,0.018105,0.034966,0.024492,0.021414,0.832142,0.035015,0.0341,High
7,5,4,3,"hari ini berat banget, ngerasa down dari pagi",0.034459,0.029133,0.026408,0.041143,0.022042,0.816772,0.030043,0.042,High
5,5,5,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini",0.877257,0.027499,0.019537,0.019573,0.020674,0.024595,0.010866,0.0158,High
9,1,2,5,"ketemu temen lama, ngobrol sampe lupa waktu deh",0.020503,0.028033,0.050765,0.028087,0.033997,0.816242,0.022373,0.0457,Medium
12,1,1,5,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang",0.022992,0.01656,0.033462,0.031275,0.039448,0.834493,0.02177,0.0379,High
11,2,2,4,alhamdulillah hari ini lancar banget ga ada hambatan,0.041489,0.035004,0.063993,0.043882,0.079221,0.668069,0.068343,0.1615,Medium
5,4,3,1,"hari ini drama banget, banyak hal yang salah semua",0.098001,0.03134,0.03665,0.053587,0.049491,0.676758,0.054173,0.1054,Medium
6,1,1,5,cuaca cerah bikin hati ikutan happy ga keruan,0.073847,0.153029,0.101279,0.060833,0.411911,0.134017,0.065085,0.6892,Low
5,4,4,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi,0.03822,0.026488,0.035353,0.031672,0.022538,0.819712,0.026017,0.0347,High
7,1,1,5,seneng bgt dapet nilai bagus pas ujian tadi,0.072331,0.047316,0.09944,0.080541,0.371034,0.27263,0.056708,0.5064,Low
8,1,2,4,"produktif parah hari ini, kayak mesin yang ga berhenti",0.116051,0.032125,0.090453,0.040518,0.030326,0.642272,0.048256,0.0768,Medium
6,2,2,3,"hari ini berasa ringan banget, kayak abis lepas beban",0.063393,0.024427,0.042557,0.041492,0.035056,0.758798,0.034277,0.0568,Medium
9,4,4,3,"semua salah hari ini, dimulai dari bangun telat sampe tugas error",0.085005,0.028978,0.031938,0.039289,0.0249,0.752341,0.037549,0.054,Medium
6,1,1,5,"happy banget hari ini, banyak hal baik terjadi",0.140631,0.059319,0.056978,0.076419,0.401344,0.152741,0.112568,0.6222,Low
9,4,5,1,"badan oke tapi hati hancur, ga tau kenapa juga",0.03125,0.02775,0.061065,0.039356,0.027856,0.788237,0.024486,0.0406,High
4,1,2,4,cuaca cerah bikin hati ikutan happy ga keruan,0.073847,0.153029,0.101279,0.060833,0.411911,0.134017,0.065085,0.6892,Low
5,3,4,1,"anxious dari pagi, banyak hal yang bikin khawatir",0.058295,0.029452,0.057658,0.729715,0.021097,0.083853,0.01993,0.0293,High
6,4,3,3,"fine-fine aja sih, cuma capek biasa yang wajar",0.047982,0.024904,0.023212,0.039538,0.029938,0.80158,0.032845,0.0496,Medium
4,4,3,3,"anxious dari pagi, banyak hal yang bikin khawatir",0.058295,0.029452,0.057658,0.729715,0.021097,0.083853,0.01993,0.0293,High
7,5,5,1,"emotional banget hari ini, gampang baper sama hal kecil",0.342511,0.067375,0.054519,0.094682,0.131715,0.254727,0.05447,0.2452,Low
7,4,5,1,"lelah fisik sama mental, dua-duanya udah di titik mentok",0.032763,0.022442,0.025848,0.031335,0.019704,0.843309,0.024599,0.0249,High
9,3,4,1,lelah ngejar semuanya tapi kayak ga pernah sampe,0.026789,0.018202,0.027502,0.024204,0.019972,0.852427,0.030904,0.0277,High
6,3,2,1,"pikiran gelap dateng lagi, susah diusir pergi",0.031828,0.031814,0.041505,0.03083,0.016609,0.827991,0.019424,0.0262,High
3,3,2,3,"produktif parah hari ini, kayak mesin yang ga berhenti",0.116051,0.032125,0.090453,0.040518,0.030326,0.642272,0.048256,0.0768,Medium
6,5,5,1,"stress parah, deadline mepet semua barengan nyerang",0.151944,0.046955,0.039759,0.061057,0.028516,0.625551,0.046218,0.0897,Medium
6,5,4,1,pengen balik ke kasur dan ga keluar selamanya rasanya,0.017236,0.02992,0.043205,0.035066,0.022462,0.82932,0.022792,0.0348,High
9,3,2,2,"down parah hari ini, semangat nol besar",0.072999,0.048581,0.024975,0.034964,0.024308,0.769898,0.024275,0.0608,Medium
9,5,4,2,pengen kabur dari semua tanggung jawab ini sesaat aja,0.026094,0.029023,0.022403,0.032017,0.020122,0.850805,0.019535,0.0272,High
11,5,4,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang,0.032783,0.02556,0.032248,0.025429,0.024138,0.835779,0.024062,0.0332,High
9,3,4,2,"badan oke tapi hati hancur, ga tau kenapa juga",0.03125,0.02775,0.061065,0.039356,0.027856,0.788237,0.024486,0.0406,High
7,4,5,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang,0.032783,0.02556,0.032248,0.025429,0.024138,0.835779,0.024062,0.0332,High
5,4,4,2,"lelah fisik sama mental, dua-duanya udah di titik mentok",0.032763,0.022442,0.025848,0.031335,0.019704,0.843309,0.024599,0.0249,High
4,2,3,2,"badan oke tapi hati hancur, ga tau kenapa juga",0.03125,0.02775,0.061065,0.039356,0.027856,0.788237,0.024486,0.0406,High
8,4,4,3,"gak ada komplain sih sebenernya, tapi gak excited juga",0.049353,0.029545,0.040914,0.032771,0.028152,0.780817,0.038448,0.0596,Medium
4,2,1,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen",0.038524,0.045537,0.056991,0.053164,0.535817,0.227158,0.042809,0.6823,Low
10,2,1,3,"bisa bantu temen yang lagi kesusahan, hati jadi hangat",0.054936,0.045639,0.047075,0.057118,0.144083,0.608725,0.042425,0.22,Low
4,1,2,3,"produktif parah hari ini, kayak mesin yang ga berhenti",0.116051,0.032125,0.090453,0.040518,0.030326,0.642272,0.048256,0.0768,Medium
10,4,4,2,"bad day banget, hampir nangis beberapa kali hari ini",0.058515,0.031287,0.036904,0.037579,0.033594,0.766473,0.035648,0.0647,Medium
7,1,2,5,"kerjaan beres semua, sisa waktu buat rebahan tenang",0.034548,0.046712,0.048685,0.022859,0.037697,0.781425,0.028074,0.0788,Medium
4,3,3,3,"mood normal, tidak galau tidak juga bahagia berlebihan",0.067392,0.062623,0.056504,0.085057,0.546823,0.150499,0.031101,0.7016,Low
4,2,1,4,"reconnect sama passion lama hari ini, bikin semangat lagi",0.116698,0.105763,0.061128,0.054515,0.17821,0.413828,0.069858,0.3635,Low
6,1,1,4,alhamdulillah hari ini lancar banget ga ada hambatan,0.041489,0.035004,0.063993,0.043882,0.079221,0.668069,0.068343,0.1615,Medium
11,3,3,2,"overwhelmed banget, kepala udah penuh mau meledak rasanya",0.246342,0.151577,0.219863,0.04572,0.037869,0.236265,0.062364,0.2432,Low
11,2,2,3,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang",0.022992,0.01656,0.033462,0.031275,0.039448,0.834493,0.02177,0.0379,High
4,2,2,3,cuaca cerah bikin hati ikutan happy ga keruan,0.073847,0.153029,0.101279,0.060833,0.411911,0.134017,0.065085,0.6892,Low
5,2,1,5,"hari ini chill tapi tetep produktif, perfect combo",0.182782,0.038217,0.101503,0.061371,0.115748,0.405965,0.094413,0.2391,Low
3,4,4,1,"overthinking parah tadi malem, jadinya kurang tidur dan lesu",0.077345,0.039237,0.094275,0.06,0.022346,0.678681,0.028116,0.052,Medium
9,3,4,4,dapet feedback positif yang bikin makin yakin sama diri sendiri,0.087596,0.129241,0.103149,0.049472,0.23601,0.313175,0.081357,0.4729,Low
6,1,1,5,ngerasa punya achievement kecil tapi berarti banget buat aku,0.021886,0.014424,0.023662,0.023485,0.023205,0.867903,0.025435,0.0206,High
6,3,3,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini",0.877257,0.027499,0.019537,0.019573,0.020674,0.024595,0.010866,0.0158,High
9,2,3,2,ngerasa gak ada yang ngerti apa yang aku rasain hari ini,0.026695,0.020892,0.026215,0.028303,0.025964,0.845789,0.026141,0.0323,High
4,5,5,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi,0.03822,0.026488,0.035353,0.031672,0.022538,0.819712,0.026017,0.0347,High
11,5,4,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget",0.026757,0.019572,0.045552,0.034192,0.025676,0.829671,0.01858,0.0215,High
5,2,1,5,excited karena dapet kesempatan baru yang udah lama ditunggu,0.032559,0.830941,0.028425,0.020618,0.035614,0.024798,0.027045,1.0,Low
4,5,4,3,"cape hati, bukan cape badan — itu yang paling melelahkan",0.043033,0.043682,0.029603,0.02265,0.019028,0.823803,0.018201,0.0416,High
5,2,1,4,semangat banget ngerjain tugas karena topiknya menarik bgt,0.12655,0.198191,0.053599,0.088813,0.342172,0.095633,0.095041,0.6955,Low
7,3,4,1,"mood jelek dari bangun tidur, dan terus gitu sampe malem",0.204333,0.074262,0.051928,0.088268,0.034774,0.503984,0.042451,0.1248,Medium
12,2,3,3,"lunch enak, cuaca oke, tugas beres — hari sempurna",0.079758,0.046123,0.10696,0.031587,0.567739,0.09656,0.071272,0.7542,Low
6,3,4,3,"badan oke pikiran oke, tapi gak ada spark gitu",0.021915,0.018932,0.039092,0.026982,0.023769,0.846755,0.022556,0.0232,High
5,1,2,4,"kerjaan beres semua, sisa waktu buat rebahan tenang",0.034548,0.046712,0.048685,0.022859,0.037697,0.781425,0.028074,0.0788,Medium
11,5,5,1,"emotional banget hari ini, gampang baper sama hal kecil",0.342511,0.067375,0.054519,0.094682,0.131715,0.254727,0.05447,0.2452,Low
6,3,2,1,"semua hal kerasa berat dan susah hari ini, capek",0.035852,0.03714,0.034635,0.043225,0.019383,0.798268,0.031497,0.05,Medium
6,4,3,4,"hari ini chill tapi tetep produktif, perfect combo",0.182782,0.038217,0.101503,0.061371,0.115748,0.405965,0.094413,0.2391,Low
3,2,2,5,cuaca cerah bikin hati ikutan happy ga keruan,0.073847,0.153029,0.101279,0.060833,0.411911,0.134017,0.065085,0.6892,Low
9,3,4,2,"mood normal, tidak galau tidak juga bahagia berlebihan",0.067392,0.062623,0.056504,0.085057,0.546823,0.150499,0.031101,0.7016,Low
4,4,3,3,tugas beres tapi gak ngerasa puas atau kecewa,0.045286,0.019922,0.042915,0.02652,0.030417,0.811583,0.023356,0.0331,High
8,4,3,1,"semua salah hari ini, dimulai dari bangun telat sampe tugas error",0.085005,0.028978,0.031938,0.039289,0.0249,0.752341,0.037549,0.054,Medium
8,2,1,3,"ketemu temen lama, ngobrol sampe lupa waktu deh",0.020503,0.028033,0.050765,0.028087,0.033997,0.816242,0.022373,0.0457,Medium
9,5,5,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang,0.032783,0.02556,0.032248,0.025429,0.024138,0.835779,0.024062,0.0332,High
10,2,2,2,"ngerjain kewajiban, setelah itu ya sudah lah",0.016939,0.013125,0.025118,0.015605,0.018071,0.896715,0.014427,0.0,High
6,5,4,1,"cape hati, bukan cape badan — itu yang paling melelahkan",0.043033,0.043682,0.029603,0.02265,0.019028,0.823803,0.018201,0.0416,High
6,3,4,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin",0.021154,0.016644,0.024693,0.026289,0.022357,0.870453,0.01841,0.0139,High
8,5,4,1,"badan oke tapi hati hancur, ga tau kenapa juga",0.03125,0.02775,0.061065,0.039356,0.027856,0.788237,0.024486,0.0406,High
7,5,5,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini",0.877257,0.027499,0.019537,0.019573,0.020674,0.024595,0.010866,0.0158,High
3,2,1,4,"hari ini berasa ringan banget, kayak abis lepas beban",0.063393,0.024427,0.042557,0.041492,0.035056,0.758798,0.034277,0.0568,Medium
5,4,5,3,"tugas segunung, waktu secuil, otak udah mati duluan",0.031557,0.018466,0.038674,0.020402,0.018215,0.853187,0.019497,0.0124,High
7,4,4,2,"overthinking parah tadi malem, jadinya kurang tidur dan lesu",0.077345,0.039237,0.094275,0.06,0.022346,0.678681,0.028116,0.052,Medium
6,2,2,3,"gak tau mau bilang apa, rasanya ya begitulah",0.035322,0.031401,0.028004,0.036089,0.023088,0.812479,0.033615,0.0501,Medium
5,2,2,4,"lumayan lah, ada naik turunnya tapi masih oke",0.02289,0.020017,0.040444,0.028485,0.021452,0.840329,0.026383,0.0262,High
10,4,4,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini",0.877257,0.027499,0.019537,0.019573,0.020674,0.024595,0.010866,0.0158,High
3,1,1,3,"hari ini chill tapi tetep produktif, perfect combo",0.182782,0.038217,0.101503,0.061371,0.115748,0.405965,0.094413,0.2391,Low
7,3,3,4,"hari ini seger banget, semua tugas kelar on time",0.097692,0.073444,0.240161,0.054821,0.147184,0.306673,0.080026,0.3008,Low
4,2,2,4,cuaca cerah bikin hati ikutan happy ga keruan,0.073847,0.153029,0.101279,0.060833,0.411911,0.134017,0.065085,0.6892,Low
8,4,5,2,"susah fokus banget, pikiran lari kemana-mana terus",0.04997,0.043851,0.03575,0.052471,0.021367,0.765149,0.031442,0.0602,Medium
5,1,1,3,finally kelar juga projek yang udah molor berminggu-minggu,0.071905,0.345812,0.097424,0.032203,0.079997,0.307075,0.065583,0.5257,Low
6,4,5,2,"pikiran gelap dateng lagi, susah diusir pergi",0.031828,0.031814,0.041505,0.03083,0.016609,0.827991,0.019424,0.0262,High
6,4,4,2,"biasa aja, nothing special, just another day",0.037835,0.023462,0.028688,0.041413,0.039627,0.7899,0.039076,0.0667,Medium
11,1,1,5,alhamdulillah hari ini lancar banget ga ada hambatan,0.041489,0.035004,0.063993,0.043882,0.079221,0.668069,0.068343,0.1615,Medium
9,2,1,4,"hari ini chill tapi tetep produktif, perfect combo",0.182782,0.038217,0.101503,0.061371,0.115748,0.405965,0.094413,0.2391,Low
4,4,4,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini",0.877257,0.027499,0.019537,0.019573,0.020674,0.024595,0.010866,0.0158,High
9,1,1,4,"hari ini chill tapi tetep produktif, perfect combo",0.182782,0.038217,0.101503,0.061371,0.115748,0.405965,0.094413,0.2391,Low
8,5,5,1,pengen kabur dari semua tanggung jawab ini sesaat aja,0.026094,0.029023,0.022403,0.032017,0.020122,0.850805,0.019535,0.0272,High
7,4,3,1,"overthinking parah tadi malem, jadinya kurang tidur dan lesu",0.077345,0.039237,0.094275,0.06,0.022346,0.678681,0.028116,0.052,Medium
5,4,4,3,"gak banyak drama hari ini, adem ayem aja",0.029782,0.029663,0.032912,0.028134,0.024894,0.824984,0.029631,0.0455,Medium
4,2,2,4,alhamdulillah hari ini lancar banget ga ada hambatan,0.041489,0.035004,0.063993,0.043882,0.079221,0.668069,0.068343,0.1615,Medium
10,4,3,3,"mood jelek dari bangun tidur, dan terus gitu sampe malem",0.204333,0.074262,0.051928,0.088268,0.034774,0.503984,0.042451,0.1248,Medium
8,4,3,1,"hari ini berat banget, ngerasa down dari pagi",0.034459,0.029133,0.026408,0.041143,0.022042,0.816772,0.030043,0.042,High
5,5,5,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini",0.877257,0.027499,0.019537,0.019573,0.020674,0.024595,0.010866,0.0158,High
2,3,3,1,"ngejalanin rutinitas seperti biasa, gak naik gak turun",0.019786,0.015524,0.025637,0.021096,0.01734,0.876967,0.02365,0.0128,High
4,2,1,3,"produktif parah hari ini, kayak mesin yang ga berhenti",0.116051,0.032125,0.090453,0.040518,0.030326,0.642272,0.048256,0.0768,Medium
9,5,5,3,"burnout parah, udah gak sanggup lagi kayaknya",0.054167,0.035664,0.036783,0.032138,0.021417,0.794608,0.025223,0.0433,High
6,4,3,5,"waktu terasa lambat, tapi akhirnya selesai juga hari ini",0.082441,0.265943,0.053653,0.073038,0.084124,0.4078,0.033001,0.3979,Low
4,1,1,4,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang",0.022992,0.01656,0.033462,0.031275,0.039448,0.834493,0.02177,0.0379,High
8,1,1,4,finally kelar juga projek yang udah molor berminggu-minggu,0.071905,0.345812,0.097424,0.032203,0.079997,0.307075,0.065583,0.5257,Low
6,1,1,5,"ketemu temen lama, ngobrol sampe lupa waktu deh",0.020503,0.028033,0.050765,0.028087,0.033997,0.816242,0.022373,0.0457,Medium
8,3,4,1,"ngikutin jadwal aja, autopilot mode sepanjang hari",0.125346,0.356637,0.090533,0.060084,0.047172,0.225948,0.094281,0.5336,Low
6,4,4,2,"merasa gagal hari ini, padahal udah usaha sebisa mungkin",0.021154,0.016644,0.024693,0.026289,0.022357,0.870453,0.01841,0.0139,High
9,1,1,5,"hari ini chill tapi tetep produktif, perfect combo",0.182782,0.038217,0.101503,0.061371,0.115748,0.405965,0.094413,0.2391,Low
8,2,3,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu,0.146282,0.111395,0.080793,0.069047,0.127356,0.388461,0.076666,0.3182,Low
6,5,5,2,"capek banget, tugas numpuk kayak ga ada habisnya",0.052521,0.029559,0.03967,0.03292,0.021333,0.795396,0.028601,0.0399,High
7,2,3,4,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan",0.025762,0.023962,0.022535,0.024928,0.021732,0.854903,0.026178,0.031,High
8,3,4,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya",0.246342,0.151577,0.219863,0.04572,0.037869,0.236265,0.062364,0.2432,Low
8,2,3,2,"emotional banget hari ini, gampang baper sama hal kecil",0.342511,0.067375,0.054519,0.094682,0.131715,0.254727,0.05447,0.2452,Low
8,2,1,5,alhamdulillah hari ini lancar banget ga ada hambatan,0.041489,0.035004,0.063993,0.043882,0.079221,0.668069,0.068343,0.1615,Medium
6,5,4,1,"emotional banget hari ini, gampang baper sama hal kecil",0.342511,0.067375,0.054519,0.094682,0.131715,0.254727,0.05447,0.2452,Low
8,1,1,5,ngerasa punya achievement kecil tapi berarti banget buat aku,0.021886,0.014424,0.023662,0.023485,0.023205,0.867903,0.025435,0.0206,High
8,5,5,2,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget",0.026757,0.019572,0.045552,0.034192,0.025676,0.829671,0.01858,0.0215,High
9,5,5,3,"mood normal, tidak galau tidak juga bahagia berlebihan",0.067392,0.062623,0.056504,0.085057,0.546823,0.150499,0.031101,0.7016,Low
7,3,3,3,"waktu terasa lambat, tapi akhirnya selesai juga hari ini",0.082441,0.265943,0.053653,0.073038,0.084124,0.4078,0.033001,0.3979,Low
6,2,2,5,"lunch enak, cuaca oke, tugas beres — hari sempurna",0.079758,0.046123,0.10696,0.031587,0.567739,0.09656,0.071272,0.7542,Low
7,4,4,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin",0.021154,0.016644,0.024693,0.026289,0.022357,0.870453,0.01841,0.0139,High
8,4,3,5,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang",0.022992,0.01656,0.033462,0.031275,0.039448,0.834493,0.02177,0.0379,High
7,5,4,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya",0.246342,0.151577,0.219863,0.04572,0.037869,0.236265,0.062364,0.2432,Low
6,1,2,3,"pikiran jernih banget hari ini, bisa fokus full",0.106758,0.143275,0.081344,0.09353,0.377228,0.120729,0.077136,0.651,Low
4,3,3,3,"gak banyak ngomong hari ini, lebih banyak mikir sendiri",0.038187,0.036325,0.029808,0.026486,0.028819,0.811945,0.02843,0.0565,Medium
