Jam Tidur Semalam,Seberapa Sibuk Anda Hari Ini (1-5),Seberapa Banyak Tugas/Pekerjaan (1-5),Suasana Hati Anda (1-5),Ceritakan Hari Anda Hari Ini
2,2,1,4,"produktif parah hari ini, kayak mesin yang ga berhenti"
8,3,3,3,"waktu terasa lambat, tapi akhirnya selesai juga hari ini"
7,3,2,3,cuaca cerah bikin hati ikutan happy ga keruan
6,4,3,1,"hari ini drama banget, banyak hal yang salah semua"
8,2,1,4,"pikiran jernih banget hari ini, bisa fokus full"
4,5,5,3,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
4,3,2,4,ngerasa punya achievement kecil tapi berarti banget buat aku
11,5,5,2,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
8,5,5,3,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
10,2,3,1,pengen kabur dari semua tanggung jawab ini sesaat aja
6,3,2,3,"gak tau mau bilang apa, rasanya ya begitulah"
5,1,1,4,seneng bgt dapet nilai bagus pas ujian tadi
7,5,5,1,pengen kabur dari semua tanggung jawab ini sesaat aja
6,3,2,4,ngerasa punya achievement kecil tapi berarti banget buat aku
8,4,5,2,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
9,5,4,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
11,4,3,4,"ngikutin jadwal aja, autopilot mode sepanjang hari"
7,2,1,5,"kerjaan beres semua, sisa waktu buat rebahan tenang"
9,3,3,3,"stress parah, deadline mepet semua barengan nyerang"
5,4,3,3,"susah fokus banget, pikiran lari kemana-mana terus"
5,1,1,4,belajar hal baru hari ini dan rasanya nagih banget
10,4,5,2,"stress parah, deadline mepet semua barengan nyerang"
3,3,3,1,"lelah fisik sama mental, dua-duanya udah di titik mentok"
10,3,2,4,"hari ini penuh tawa, lupa sama capek dan penat"
8,1,2,5,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
5,3,2,3,"capek banget, tugas numpuk kayak ga ada habisnya"
9,4,4,2,"gak tau mau bilang apa, rasanya ya begitulah"
10,5,5,2,"anxious dari pagi, banyak hal yang bikin khawatir"
4,2,1,4,belajar hal baru hari ini dan rasanya nagih banget
12,5,5,3,"anxious dari pagi, banyak hal yang bikin khawatir"
4,2,2,4,"hari ini chill tapi tetep produktif, perfect combo"
3,4,4,2,"gak banyak ngomong hari ini, lebih banyak mikir sendiri"
6,3,2,4,kerja keras dikit tapi hasilnya ya segitu-gitu aja
7,5,4,3,"hari ini berat banget, ngerasa down dari pagi"
5,5,5,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
9,1,2,5,"ketemu temen lama, ngobrol sampe lupa waktu deh"
12,1,1,5,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
11,2,2,4,alhamdulillah hari ini lancar banget ga ada hambatan
5,4,3,1,"hari ini drama banget, banyak hal yang salah semua"
6,1,1,5,cuaca cerah bikin hati ikutan happy ga keruan
5,4,4,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
7,1,1,5,seneng bgt dapet nilai bagus pas ujian tadi
8,1,2,4,"produktif parah hari ini, kayak mesin yang ga berhenti"
6,2,2,3,"hari ini berasa ringan banget, kayak abis lepas beban"
9,4,4,3,"semua salah hari ini, dimulai dari bangun telat sampe tugas error"
6,1,1,5,"happy banget hari ini, banyak hal baik terjadi"
9,4,5,1,"badan oke tapi hati hancur, ga tau kenapa juga"
4,1,2,4,cuaca cerah bikin hati ikutan happy ga keruan
5,3,4,1,"anxious dari pagi, banyak hal yang bikin khawatir"
6,4,3,3,"fine-fine aja sih, cuma capek biasa yang wajar"
4,4,3,3,"anxious dari pagi, banyak hal yang bikin khawatir"
7,5,5,1,"emotional banget hari ini, gampang baper sama hal kecil"
7,4,5,1,"lelah fisik sama mental, dua-duanya udah di titik mentok"
9,3,4,1,lelah ngejar semuanya tapi kayak ga pernah sampe
6,3,2,1,"pikiran gelap dateng lagi, susah diusir pergi"
3,3,2,3,"produktif parah hari ini, kayak mesin yang ga berhenti"
6,5,5,1,"stress parah, deadline mepet semua barengan nyerang"
6,5,4,1,pengen balik ke kasur dan ga keluar selamanya rasanya
9,3,2,2,"down parah hari ini, semangat nol besar"
9,5,4,2,pengen kabur dari semua tanggung jawab ini sesaat aja
11,5,4,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
9,3,4,2,"badan oke tapi hati hancur, ga tau kenapa juga"
7,4,5,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
5,4,4,2,"lelah fisik sama mental, dua-duanya udah di titik mentok"
4,2,3,2,"badan oke tapi hati hancur, ga tau kenapa juga"
8,4,4,3,"gak ada komplain sih sebenernya, tapi gak excited juga"
4,2,1,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
10,2,1,3,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
4,1,2,3,"produktif parah hari ini, kayak mesin yang ga berhenti"
10,4,4,2,"bad day banget, hampir nangis beberapa kali hari ini"
7,1,2,5,"kerjaan beres semua, sisa waktu buat rebahan tenang"
4,3,3,3,"mood normal, tidak galau tidak juga bahagia berlebihan"
4,2,1,4,"reconnect sama passion lama hari ini, bikin semangat lagi"
6,1,1,4,alhamdulillah hari ini lancar banget ga ada hambatan
11,3,3,2,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
11,2,2,3,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
4,2,2,3,cuaca cerah bikin hati ikutan happy ga keruan
5,2,1,5,"hari ini chill tapi tetep produktif, perfect combo"
3,4,4,1,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
9,3,4,4,dapet feedback positif yang bikin makin yakin sama diri sendiri
6,1,1,5,ngerasa punya achievement kecil tapi berarti banget buat aku
6,3,3,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
9,2,3,2,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
4,5,5,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
11,5,4,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
5,2,1,5,excited karena dapet kesempatan baru yang udah lama ditunggu
4,5,4,3,"cape hati, bukan cape badan — itu yang paling melelahkan"
5,2,1,4,semangat banget ngerjain tugas karena topiknya menarik bgt
7,3,4,1,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
12,2,3,3,"lunch enak, cuaca oke, tugas beres — hari sempurna"
6,3,4,3,"badan oke pikiran oke, tapi gak ada spark gitu"
5,1,2,4,"kerjaan beres semua, sisa waktu buat rebahan tenang"
11,5,5,1,"emotional banget hari ini, gampang baper sama hal kecil"
6,3,2,1,"semua hal kerasa berat dan susah hari ini, capek"
6,4,3,4,"hari ini chill tapi tetep produktif, perfect combo"
3,2,2,5,cuaca cerah bikin hati ikutan happy ga keruan
9,3,4,2,"mood normal, tidak galau tidak juga bahagia berlebihan"
4,4,3,3,tugas beres tapi gak ngerasa puas atau kecewa
8,4,3,1,"semua salah hari ini, dimulai dari bangun telat sampe tugas error"
8,2,1,3,"ketemu temen lama, ngobrol sampe lupa waktu deh"
9,5,5,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
10,2,2,2,"ngerjain kewajiban, setelah itu ya sudah lah"
6,5,4,1,"cape hati, bukan cape badan — itu yang paling melelahkan"
6,3,4,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
8,5,4,1,"badan oke tapi hati hancur, ga tau kenapa juga"
7,5,5,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
3,2,1,4,"hari ini berasa ringan banget, kayak abis lepas beban"
5,4,5,3,"tugas segunung, waktu secuil, otak udah mati duluan"
7,4,4,2,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
6,2,2,3,"gak tau mau bilang apa, rasanya ya begitulah"
5,2,2,4,"lumayan lah, ada naik turunnya tapi masih oke"
10,4,4,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
3,1,1,3,"hari ini chill tapi tetep produktif, perfect combo"
7,3,3,4,"hari ini seger banget, semua tugas kelar on time"
4,2,2,4,cuaca cerah bikin hati ikutan happy ga keruan
8,4,5,2,"susah fokus banget, pikiran lari kemana-mana terus"
5,1,1,3,finally kelar juga projek yang udah molor berminggu-minggu
6,4,5,2,"pikiran gelap dateng lagi, susah diusir pergi"
6,4,4,2,"biasa aja, nothing special, just another day"
11,1,1,5,alhamdulillah hari ini lancar banget ga ada hambatan
9,2,1,4,"hari ini chill tapi tetep produktif, perfect combo"
4,4,4,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
9,1,1,4,"hari ini chill tapi tetep produktif, perfect combo"
8,5,5,1,pengen kabur dari semua tanggung jawab ini sesaat aja
7,4,3,1,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
5,4,4,3,"gak banyak drama hari ini, adem ayem aja"
4,2,2,4,alhamdulillah hari ini lancar banget ga ada hambatan
10,4,3,3,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
8,4,3,1,"hari ini berat banget, ngerasa down dari pagi"
5,5,5,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
2,3,3,1,"ngejalanin rutinitas seperti biasa, gak naik gak turun"
4,2,1,3,"produktif parah hari ini, kayak mesin yang ga berhenti"
9,5,5,3,"burnout parah, udah gak sanggup lagi kayaknya"
6,4,3,5,"waktu terasa lambat, tapi akhirnya selesai juga hari ini"
4,1,1,4,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
8,1,1,4,finally kelar juga projek yang udah molor berminggu-minggu
6,1,1,5,"ketemu temen lama, ngobrol sampe lupa waktu deh"
8,3,4,1,"ngikutin jadwal aja, autopilot mode sepanjang hari"
6,4,4,2,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
9,1,1,5,"hari ini chill tapi tetep produktif, perfect combo"
8,2,3,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
6,5,5,2,"capek banget, tugas numpuk kayak ga ada habisnya"
7,2,3,4,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
8,3,4,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
8,2,3,2,"emotional banget hari ini, gampang baper sama hal kecil"
8,2,1,5,alhamdulillah hari ini lancar banget ga ada hambatan
6,5,4,1,"emotional banget hari ini, gampang baper sama hal kecil"
8,1,1,5,ngerasa punya achievement kecil tapi berarti banget buat aku
8,5,5,2,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
9,5,5,3,"mood normal, tidak galau tidak juga bahagia berlebihan"
7,3,3,3,"waktu terasa lambat, tapi akhirnya selesai juga hari ini"
6,2,2,5,"lunch enak, cuaca oke, tugas beres — hari sempurna"
7,4,4,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
8,4,3,5,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
7,5,4,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
6,1,2,3,"pikiran jernih banget hari ini, bisa fokus full"
4,3,3,3,"gak banyak ngomong hari ini, lebih banyak mikir sendiri"
6,3,3,3,"hari ini biasa aja sih, gak ada yang spesial"
10,4,4,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
8,5,4,3,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
8,1,2,5,alhamdulillah hari ini lancar banget ga ada hambatan
3,4,5,3,"stress parah, deadline mepet semua barengan nyerang"
8,5,5,3,"down parah hari ini, semangat nol besar"
8,5,5,2,"anxious dari pagi, banyak hal yang bikin khawatir"
11,3,2,5,seneng bgt dapet nilai bagus pas ujian tadi
6,1,1,5,"hari ini chill tapi tetep produktif, perfect combo"
6,1,1,5,"happy banget hari ini, banyak hal baik terjadi"
4,4,5,1,"susah fokus banget, pikiran lari kemana-mana terus"
6,3,2,4,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
5,5,5,2,lelah ngejar semuanya tapi kayak ga pernah sampe
5,5,5,2,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
7,5,5,1,"bad day banget, hampir nangis beberapa kali hari ini"
3,5,4,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
10,4,3,4,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
11,4,4,1,"tugas segunung, waktu secuil, otak udah mati duluan"
9,3,2,5,seneng bgt dapet nilai bagus pas ujian tadi
4,2,3,2,"emotional banget hari ini, gampang baper sama hal kecil"
8,3,4,3,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
5,5,5,3,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini"
10,2,2,4,kerja keras dikit tapi hasilnya ya segitu-gitu aja
10,1,2,5,finally kelar juga projek yang udah molor berminggu-minggu
9,3,3,5,ngerasa punya achievement kecil tapi berarti banget buat aku
1,1,1,5,seneng bgt dapet nilai bagus pas ujian tadi
9,2,1,4,"kerjaan beres semua, sisa waktu buat rebahan tenang"
5,2,3,3,dapat apresiasi dari dosen bikin semangat dobel hari ini
8,5,5,2,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
4,5,4,2,"stress parah, deadline mepet semua barengan nyerang"
7,3,4,2,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
9,3,3,3,dapat apresiasi dari dosen bikin semangat dobel hari ini
8,2,1,4,"produktif parah hari ini, kayak mesin yang ga berhenti"
3,5,4,1,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
6,1,2,3,"hari ini chill tapi tetep produktif, perfect combo"
7,3,3,3,"hari ini so-so aja, antara males dan mau usaha"
7,2,1,5,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
12,1,1,5,pagi tadi olahraga dulu jadinya badan enak banget
5,4,3,5,pagi tadi olahraga dulu jadinya badan enak banget
4,4,3,3,"cape hati, bukan cape badan — itu yang paling melelahkan"
10,5,4,3,"cape hati, bukan cape badan — itu yang paling melelahkan"
4,1,2,3,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
5,4,4,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
4,5,5,2,"rasanya pengen pause semuanya, istirahat total dari dunia"
5,3,3,2,"gak ada komplain sih sebenernya, tapi gak excited juga"
7,5,4,2,"down parah hari ini, semangat nol besar"
8,4,5,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
4,4,3,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
5,4,5,3,pengen kabur dari semua tanggung jawab ini sesaat aja
6,1,1,5,cuaca cerah bikin hati ikutan happy ga keruan
10,3,2,3,"ketemu temen lama, ngobrol sampe lupa waktu deh"
4,5,4,1,"semua hal kerasa berat dan susah hari ini, capek"
8,4,5,2,"cape hati, bukan cape badan — itu yang paling melelahkan"
8,5,5,2,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
5,5,5,1,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
3,5,5,3,"badan oke tapi hati hancur, ga tau kenapa juga"
5,2,3,2,"lumayan lah, ada naik turunnya tapi masih oke"
7,2,3,5,"kerjaan beres semua, sisa waktu buat rebahan tenang"
8,5,5,2,nangis di kamar mandi karena udah gak tahan stressnya
9,1,1,4,semangat banget ngerjain tugas karena topiknya menarik bgt
6,2,2,5,"hari ini berasa ringan banget, kayak abis lepas beban"
6,5,4,3,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
6,4,4,2,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
6,1,1,5,seneng bgt dapet nilai bagus pas ujian tadi
4,1,1,5,"mood on fire dari pagi, semua kerasa ringan"
8,3,2,3,"mood normal, tidak galau tidak juga bahagia berlebihan"
9,3,3,3,"hari ini biasa aja sih, gak ada yang spesial"
9,2,2,4,"mood on fire dari pagi, semua kerasa ringan"
9,4,5,2,"down parah hari ini, semangat nol besar"
6,4,4,1,"bad day banget, hampir nangis beberapa kali hari ini"
7,3,3,4,"hari ini berasa ringan banget, kayak abis lepas beban"
7,3,4,5,"happy banget hari ini, banyak hal baik terjadi"
7,5,5,1,pengen kabur dari semua tanggung jawab ini sesaat aja
6,3,4,3,"exhausted total, jalan aja udah kayak zombie"
2,5,5,1,lelah ngejar semuanya tapi kayak ga pernah sampe
8,1,1,5,"ketemu temen lama, ngobrol sampe lupa waktu deh"
6,1,1,4,seneng bgt dapet nilai bagus pas ujian tadi
5,2,2,5,"ketemu temen lama, ngobrol sampe lupa waktu deh"
7,5,5,1,"capek banget, tugas numpuk kayak ga ada habisnya"
9,5,4,1,"cape hati, bukan cape badan — itu yang paling melelahkan"
3,4,4,2,"susah fokus banget, pikiran lari kemana-mana terus"
7,4,4,3,overthinking dikit tapi masih bisa dikendaliin untungnya
3,2,2,4,"hari ini penuh tawa, lupa sama capek dan penat"
10,4,4,1,"burnout parah, udah gak sanggup lagi kayaknya"
6,2,2,5,"hari ini seger banget, semua tugas kelar on time"
8,4,4,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
10,3,4,2,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
8,4,3,2,"stress parah, deadline mepet semua barengan nyerang"
4,4,3,5,excited karena dapet kesempatan baru yang udah lama ditunggu
5,1,2,3,pagi tadi olahraga dulu jadinya badan enak banget
8,1,1,4,"pulang lebih awal, sempet me time yang udah lama kangen"
9,2,2,4,"hari ini chill tapi tetep produktif, perfect combo"
9,1,1,5,"ketemu temen lama, ngobrol sampe lupa waktu deh"
9,3,4,1,"rasanya pengen pause semuanya, istirahat total dari dunia"
5,1,1,4,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
6,1,2,5,pagi tadi olahraga dulu jadinya badan enak banget
5,5,5,3,"exhausted total, jalan aja udah kayak zombie"
6,4,5,1,"badan oke tapi hati hancur, ga tau kenapa juga"
3,1,2,4,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
8,1,1,5,alhamdulillah hari ini lancar banget ga ada hambatan
7,1,1,5,"happy banget hari ini, banyak hal baik terjadi"
5,5,5,1,"badan oke tapi hati hancur, ga tau kenapa juga"
7,4,5,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
3,2,3,3,"fine-fine aja sih, cuma capek biasa yang wajar"
6,1,1,4,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
4,2,3,1,"lumayan lah, ada naik turunnya tapi masih oke"
4,2,1,3,"ngerjain kewajiban, setelah itu ya sudah lah"
8,3,3,4,"ketemu temen lama, ngobrol sampe lupa waktu deh"
7,4,3,1,"hari ini berat banget, ngerasa down dari pagi"
7,2,3,1,"cape hati, bukan cape badan — itu yang paling melelahkan"
7,4,3,1,"down parah hari ini, semangat nol besar"
1,5,5,1,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
6,4,4,2,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
10,2,1,4,dapat apresiasi dari dosen bikin semangat dobel hari ini
6,1,2,4,alhamdulillah hari ini lancar banget ga ada hambatan
6,1,2,5,"pulang lebih awal, sempet me time yang udah lama kangen"
5,5,5,1,"hari ini berat banget, ngerasa down dari pagi"
6,5,4,1,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
11,4,5,3,"fine-fine aja sih, cuma capek biasa yang wajar"
9,3,2,5,semangat banget ngerjain tugas karena topiknya menarik bgt
4,4,3,3,"gak tau mau bilang apa, rasanya ya begitulah"
6,2,2,5,"kerjaan beres semua, sisa waktu buat rebahan tenang"
6,2,1,4,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
10,4,4,2,"exhausted total, jalan aja udah kayak zombie"
4,1,1,5,"kerjaan beres semua, sisa waktu buat rebahan tenang"
3,1,2,3,dapat apresiasi dari dosen bikin semangat dobel hari ini
7,3,3,3,"hari ini so-so aja, antara males dan mau usaha"
12,2,2,3,pagi tadi olahraga dulu jadinya badan enak banget
9,1,1,4,"hari ini seger banget, semua tugas kelar on time"
5,2,2,5,"reconnect sama passion lama hari ini, bikin semangat lagi"
5,3,2,2,"hari ini so-so aja, antara males dan mau usaha"
7,5,4,2,"burnout parah, udah gak sanggup lagi kayaknya"
5,2,3,3,"bad day banget, hampir nangis beberapa kali hari ini"
9,5,5,2,"rasanya pengen pause semuanya, istirahat total dari dunia"
8,1,1,5,"hari ini penuh tawa, lupa sama capek dan penat"
9,2,3,5,finally kelar juga projek yang udah molor berminggu-minggu
8,4,3,2,kerja keras dikit tapi hasilnya ya segitu-gitu aja
6,4,5,2,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
4,3,4,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
6,1,1,5,"reconnect sama passion lama hari ini, bikin semangat lagi"
9,2,3,3,"burnout parah, udah gak sanggup lagi kayaknya"
6,2,2,5,"happy banget hari ini, banyak hal baik terjadi"
8,1,2,4,finally kelar juga projek yang udah molor berminggu-minggu
7,2,2,5,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
5,2,3,1,pengen kabur dari semua tanggung jawab ini sesaat aja
10,2,1,4,"lunch enak, cuaca oke, tugas beres — hari sempurna"
6,1,2,4,"hari ini penuh tawa, lupa sama capek dan penat"
6,2,2,2,"cape hati, bukan cape badan — itu yang paling melelahkan"
6,4,4,2,"biasa aja, nothing special, just another day"
8,5,4,1,"exhausted total, jalan aja udah kayak zombie"
12,2,1,5,"pikiran jernih banget hari ini, bisa fokus full"
8,2,1,4,cuaca cerah bikin hati ikutan happy ga keruan
8,4,5,2,lelah ngejar semuanya tapi kayak ga pernah sampe
6,1,1,4,"lunch enak, cuaca oke, tugas beres — hari sempurna"
7,5,5,2,"susah fokus banget, pikiran lari kemana-mana terus"
8,3,4,3,hari ini terasa panjang tapi ya udah dijalanin aja
4,1,1,5,seneng bgt dapet nilai bagus pas ujian tadi
8,1,1,3,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
9,1,1,5,"ketemu temen lama, ngobrol sampe lupa waktu deh"
8,1,1,4,"ketemu temen lama, ngobrol sampe lupa waktu deh"
1,3,2,2,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
5,3,4,3,"ya gini-gini aja, standar banget hari ini mah"
2,2,2,4,"mood on fire dari pagi, semua kerasa ringan"
8,4,3,2,"exhausted total, jalan aja udah kayak zombie"
5,4,5,3,nangis di kamar mandi karena udah gak tahan stressnya
5,3,4,3,tugas beres tapi gak ngerasa puas atau kecewa
12,4,4,4,"cukup lah hari ini, tidak lebih tidak kurang"
7,1,1,3,"hari ini berasa ringan banget, kayak abis lepas beban"
5,1,1,4,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
8,3,4,1,"hari ini drama banget, banyak hal yang salah semua"
10,2,2,3,"lunch enak, cuaca oke, tugas beres — hari sempurna"
7,4,4,1,"emotional banget hari ini, gampang baper sama hal kecil"
4,5,5,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
7,4,3,2,"hari ini drama banget, banyak hal yang salah semua"
11,2,2,2,kerja keras dikit tapi hasilnya ya segitu-gitu aja
3,2,1,5,dapet feedback positif yang bikin makin yakin sama diri sendiri
9,1,1,5,"kerjaan beres semua, sisa waktu buat rebahan tenang"
8,5,5,2,"down parah hari ini, semangat nol besar"
8,5,5,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
6,2,3,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
11,4,4,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
7,1,1,5,"mood on fire dari pagi, semua kerasa ringan"
6,3,4,1,"semua salah hari ini, dimulai dari bangun telat sampe tugas error"
6,3,3,3,"ketemu temen lama, ngobrol sampe lupa waktu deh"
6,2,1,5,finally kelar juga projek yang udah molor berminggu-minggu
9,3,2,4,belajar hal baru hari ini dan rasanya nagih banget
9,1,1,4,belajar hal baru hari ini dan rasanya nagih banget
10,2,1,5,semangat banget ngerjain tugas karena topiknya menarik bgt
2,2,2,3,"ya jalani aja, toh besok juga bakal ada hari baru"
8,3,3,3,"bad day banget, hampir nangis beberapa kali hari ini"
2,2,2,2,"lelah fisik sama mental, dua-duanya udah di titik mentok"
12,1,1,5,seneng bgt dapet nilai bagus pas ujian tadi
4,5,4,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
6,1,2,5,"mood on fire dari pagi, semua kerasa ringan"
8,2,1,5,"mood on fire dari pagi, semua kerasa ringan"
7,1,1,5,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
6,4,3,2,"pikiran gelap dateng lagi, susah diusir pergi"
11,4,3,1,"capek banget, tugas numpuk kayak ga ada habisnya"
5,4,4,1,"semua hal kerasa berat dan susah hari ini, capek"
5,1,2,5,"produktif parah hari ini, kayak mesin yang ga berhenti"
8,5,5,1,nangis di kamar mandi karena udah gak tahan stressnya
10,2,3,3,overthinking dikit tapi masih bisa dikendaliin untungnya
9,2,3,3,"pulang lebih awal, sempet me time yang udah lama kangen"
12,2,3,1,"down parah hari ini, semangat nol besar"
10,5,5,1,"anxious dari pagi, banyak hal yang bikin khawatir"
6,5,4,3,"gak ada yang aneh, ngalir aja kayak biasa"
3,2,3,4,"reconnect sama passion lama hari ini, bikin semangat lagi"
6,5,5,1,nangis di kamar mandi karena udah gak tahan stressnya
7,5,5,3,hari ini terasa panjang tapi ya udah dijalanin aja
9,3,4,3,"kadang bosen kadang oke, selang-seling gitu rasanya"
2,2,2,5,alhamdulillah hari ini lancar banget ga ada hambatan
4,3,4,2,"semua hal kerasa berat dan susah hari ini, capek"
7,3,2,1,nangis di kamar mandi karena udah gak tahan stressnya
7,5,4,2,"semua hal kerasa berat dan susah hari ini, capek"
7,4,3,2,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
4,2,3,2,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
4,2,1,4,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
10,4,5,1,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
8,4,3,3,kerja keras dikit tapi hasilnya ya segitu-gitu aja
6,1,1,5,alhamdulillah hari ini lancar banget ga ada hambatan
11,5,4,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
4,5,5,2,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
5,5,4,1,"hari ini drama banget, banyak hal yang salah semua"
6,1,1,4,"happy banget hari ini, banyak hal baik terjadi"
10,4,5,1,"anxious dari pagi, banyak hal yang bikin khawatir"
5,1,2,3,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
6,3,4,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
9,3,2,4,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini"
9,1,1,3,"badan oke pikiran oke, tapi gak ada spark gitu"
12,1,1,4,"happy banget hari ini, banyak hal baik terjadi"
4,4,4,2,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
4,2,2,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
5,1,2,4,"hari ini berasa ringan banget, kayak abis lepas beban"
8,2,2,4,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
4,3,3,4,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
10,2,1,4,finally kelar juga projek yang udah molor berminggu-minggu
6,1,2,4,finally kelar juga projek yang udah molor berminggu-minggu
9,2,1,5,alhamdulillah hari ini lancar banget ga ada hambatan
9,2,1,5,dapat apresiasi dari dosen bikin semangat dobel hari ini
6,3,3,3,"ya gini-gini aja, standar banget hari ini mah"
2,2,3,3,"lunch enak, cuaca oke, tugas beres — hari sempurna"
8,3,4,2,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
3,4,3,1,"lelah fisik sama mental, dua-duanya udah di titik mentok"
8,5,5,3,"badan oke tapi hati hancur, ga tau kenapa juga"
6,1,1,4,finally kelar juga projek yang udah molor berminggu-minggu
