Jam Tidur Semalam,Seberapa Sibuk Anda Hari Ini (1-5),Seberapa Banyak Tugas/Pekerjaan (1-5),Seberapa Tertekan Anda (1-5),Suasana Hati Anda (1-5),Seberapa Sering Merasa Lelah Emosional (1-5),Seberapa Termotivasi Anda (1-5),Ceritakan Hari Anda Hari Ini,prob_anger,prob_anticipation,prob_disgust,prob_fear,prob_joy,prob_sadness,prob_trust,Wellbeing_Score,Wellbeing_Label
8,4,3,4,2,5,1,"lelah fisik sama mental, dua-duanya udah di titik mentok",0.032763,0.022442,0.025848,0.031335,0.019704,0.843309,0.024599,0.1688,Low
10,1,1,1,5,1,5,"reconnect sama passion lama hari ini, bikin semangat lagi",0.116698,0.105763,0.061128,0.054515,0.17821,0.413828,0.069858,1.0,High
10,2,2,3,3,2,4,"mood normal, tidak galau tidak juga bahagia berlebihan",0.067392,0.062623,0.056504,0.085057,0.546823,0.150499,0.031101,0.6375,Medium
5,2,2,3,3,4,2,"waktu terasa lambat, tapi akhirnya selesai juga hari ini",0.082441,0.265943,0.053653,0.073038,0.084124,0.4078,0.033001,0.4375,Medium
3,5,5,4,3,5,1,"susah fokus banget, pikiran lari kemana-mana terus",0.04997,0.043851,0.03575,0.052471,0.021367,0.765149,0.031442,0.175,Low
9,2,1,2,3,2,5,"mood on fire dari pagi, semua kerasa ringan",0.08791,0.08537,0.064207,0.057291,0.062344,0.584228,0.058651,0.7562,High
7,1,2,1,4,1,5,"pulang lebih awal, sempet me time yang udah lama kangen",0.038209,0.163969,0.055641,0.05432,0.086145,0.572109,0.029608,0.9188,High
6,5,5,5,1,5,2,"hari ini berat banget, ngerasa down dari pagi",0.034459,0.029133,0.026408,0.041143,0.022042,0.816772,0.030043,0.05,Low
4,5,4,4,3,4,3,"biasa aja, nothing special, just another day",0.037835,0.023462,0.028688,0.041413,0.039627,0.7899,0.039076,0.3438,Low
2,1,1,1,5,1,5,"bisa bantu temen yang lagi kesusahan, hati jadi hangat",0.054936,0.045639,0.047075,0.057118,0.144083,0.608725,0.042425,1.0,High
9,3,4,4,3,4,2,lelah ngejar semuanya tapi kayak ga pernah sampe,0.026789,0.018202,0.027502,0.024204,0.019972,0.852427,0.030904,0.3312,Low
5,3,4,4,3,4,3,"ya gini-gini aja, standar banget hari ini mah",0.069697,0.017365,0.044012,0.025005,0.028656,0.743331,0.071934,0.3812,Low
11,3,4,4,3,4,2,"pikiran gelap dateng lagi, susah diusir pergi",0.031828,0.031814,0.041505,0.03083,0.016609,0.827991,0.019424,0.3312,Low
6,3,4,4,2,4,3,"pikiran gelap dateng lagi, susah diusir pergi",0.031828,0.031814,0.041505,0.03083,0.016609,0.827991,0.019424,0.3188,Low
5,1,2,2,5,2,5,"happy banget hari ini, banyak hal baik terjadi",0.140631,0.059319,0.056978,0.076419,0.401344,0.152741,0.112567,0.8812,High
12,3,3,3,3,4,1,"down parah hari ini, semangat nol besar",0.072999,0.048581,0.024975,0.034964,0.024308,0.769898,0.024275,0.35,Low
8,4,5,4,3,4,1,"susah fokus banget, pikiran lari kemana-mana terus",0.04997,0.043851,0.03575,0.052471,0.021367,0.765149,0.031442,0.2437,Low
8,5,4,5,1,5,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget",0.026757,0.019572,0.045552,0.034192,0.025676,0.829671,0.01858,0.0188,Low
5,3,3,3,4,3,3,"fine-fine aja sih, cuma capek biasa yang wajar",0.047982,0.024904,0.023212,0.039538,0.029938,0.80158,0.032845,0.5625,Medium
8,5,5,4,2,4,3,"anxious dari pagi, banyak hal yang bikin khawatir",0.058295,0.029452,0.057658,0.729715,0.021097,0.083853,0.01993,0.2625,Low
5,1,1,1,4,1,5,"pikiran jernih banget hari ini, bisa fokus full",0.106758,0.143275,0.081344,0.09353,0.377228,0.120729,0.077136,0.9375,High
4,2,1,2,4,3,2,"hari ini so-so aja, antara males dan mau usaha",0.035595,0.024063,0.022336,0.046403,0.021287,0.820316,0.030001,0.6188,Medium
5,2,3,2,4,1,4,"pulang lebih awal, sempet me time yang udah lama kangen",0.038209,0.163969,0.055641,0.05432,0.086145,0.572109,0.029608,0.7812,High
6,4,4,3,2,4,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi,0.03822,0.026488,0.035353,0.031672,0.022538,0.819712,0.026017,0.25,Low
8,5,4,4,3,4,3,"mood normal, tidak galau tidak juga bahagia berlebihan",0.067392,0.062623,0.056504,0.085057,0.546823,0.150499,0.031101,0.3438,Low
6,2,1,2,5,3,3,"ketemu temen lama, ngobrol sampe lupa waktu deh",0.020503,0.028033,0.050765,0.028087,0.033997,0.816242,0.022373,0.7312,High
11,4,5,5,2,5,1,"overthinking parah tadi malem, jadinya kurang tidur dan lesu",0.077345,0.039237,0.094275,0.06,0.022346,0.678681,0.028116,0.0812,Low
6,4,4,3,2,4,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget",0.026757,0.019572,0.045552,0.034192,0.025676,0.829671,0.01858,0.25,Low
5,1,2,2,3,1,5,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang",0.022992,0.01656,0.033462,0.031275,0.039448,0.834493,0.02177,0.8062,High
10,3,4,4,1,4,1,"burnout parah, udah gak sanggup lagi kayaknya",0.054167,0.035664,0.036783,0.032138,0.021417,0.794608,0.025223,0.1562,Low
8,4,4,4,1,5,1,ngerasa gak ada yang ngerti apa yang aku rasain hari ini,0.026695,0.020892,0.026215,0.028303,0.025964,0.845789,0.026141,0.0875,Low
8,1,1,1,5,1,5,dapat apresiasi dari dosen bikin semangat dobel hari ini,0.096257,0.077722,0.122646,0.043332,0.4299,0.186585,0.043557,1.0,High
4,1,2,2,5,1,5,finally kelar juga projek yang udah molor berminggu-minggu,0.071905,0.345812,0.097424,0.032203,0.079997,0.307075,0.065583,0.9312,High
7,3,4,2,4,4,2,"ngerjain kewajiban, setelah itu ya sudah lah",0.016939,0.013125,0.025118,0.015605,0.018071,0.896715,0.014427,0.4938,Medium
10,4,4,3,2,2,5,"lumayan lah, ada naik turunnya tapi masih oke",0.02289,0.020017,0.040444,0.028485,0.021452,0.840329,0.026383,0.55,Medium
8,2,1,2,3,3,4,finally kelar juga projek yang udah molor berminggu-minggu,0.071905,0.345812,0.097424,0.032203,0.079997,0.307075,0.065583,0.6562,High
6,3,3,3,2,2,3,"fine-fine aja sih, cuma capek biasa yang wajar",0.047982,0.024904,0.023212,0.039538,0.029938,0.80158,0.032845,0.4875,Medium
9,3,3,4,1,2,3,"capek banget, tugas numpuk kayak ga ada habisnya",0.052521,0.029559,0.03967,0.03292,0.021333,0.795396,0.028601,0.375,Low
4,3,3,4,2,4,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi,0.03822,0.026488,0.035353,0.031672,0.022538,0.819712,0.026017,0.2375,Low
6,4,4,4,3,4,2,"exhausted total, jalan aja udah kayak zombie",0.087001,0.032252,0.12162,0.04103,0.034454,0.642536,0.041107,0.3125,Low
3,2,1,2,5,2,5,"lunch enak, cuaca oke, tugas beres — hari sempurna",0.079758,0.046123,0.10696,0.031587,0.567739,0.09656,0.071272,0.8812,High
9,5,4,5,2,4,2,"semua salah hari ini, dimulai dari bangun telat sampe tugas error",0.085005,0.028978,0.031938,0.039289,0.0249,0.752341,0.037549,0.1812,Low
3,3,4,4,1,4,3,gak sanggup lagi pura-pura baik-baik aja di depan semua orang,0.032783,0.02556,0.032248,0.025429,0.024138,0.835779,0.024062,0.2563,Low
7,3,4,4,3,4,3,"ya gini-gini aja, standar banget hari ini mah",0.069697,0.017365,0.044012,0.025005,0.028656,0.743331,0.071934,0.3812,Low
7,4,3,4,3,3,2,"exhausted total, jalan aja udah kayak zombie",0.087001,0.032252,0.12162,0.04103,0.034454,0.642536,0.041107,0.3812,Low
7,2,1,2,4,1,5,excited karena dapet kesempatan baru yang udah lama ditunggu,0.032559,0.830941,0.028425,0.020618,0.035614,0.024798,0.027045,0.8688,High
8,4,3,2,4,3,4,ngerasa punya achievement kecil tapi berarti banget buat aku,0.021886,0.014424,0.023662,0.023485,0.023205,0.867903,0.025435,0.6438,Medium
5,4,5,5,1,4,2,"mood jelek dari bangun tidur, dan terus gitu sampe malem",0.204333,0.074262,0.051928,0.088268,0.034774,0.503984,0.042451,0.1188,Low
9,5,5,5,1,5,2,pengen balik ke kasur dan ga keluar selamanya rasanya,0.017236,0.02992,0.043205,0.035066,0.022462,0.82932,0.022792,0.05,Low
6,1,1,1,5,2,5,"pulang lebih awal, sempet me time yang udah lama kangen",0.038209,0.163969,0.055641,0.05432,0.086145,0.572109,0.029608,0.95,High
8,1,1,2,3,1,5,belajar hal baru hari ini dan rasanya nagih banget,0.05937,0.139863,0.080421,0.06238,0.266827,0.354941,0.036198,0.825,High
5,5,5,5,1,4,1,"semua salah hari ini, dimulai dari bangun telat sampe tugas error",0.085005,0.028978,0.031938,0.039289,0.0249,0.752341,0.037549,0.05,Low
8,1,1,2,3,1,4,"hari ini penuh tawa, lupa sama capek dan penat",0.058421,0.061455,0.052343,0.057723,0.048341,0.68667,0.035046,0.775,High
9,2,3,2,3,2,3,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini",0.030343,0.036117,0.03768,0.028651,0.054603,0.770203,0.042403,0.6188,Medium
4,4,4,5,2,5,1,"semua salah hari ini, dimulai dari bangun telat sampe tugas error",0.085005,0.028978,0.031938,0.039289,0.0249,0.752341,0.037549,0.1,Low
7,4,5,4,3,3,4,overthinking dikit tapi masih bisa dikendaliin untungnya,0.029412,0.013954,0.027164,0.022354,0.019376,0.867048,0.020691,0.4438,Medium
4,5,5,5,2,5,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini",0.877257,0.027499,0.019537,0.019573,0.020674,0.024595,0.010866,0.0625,Low
11,4,3,2,4,4,3,ngerjain hal yang aku suka bikin waktu cepet banget berlalu,0.146282,0.111395,0.080793,0.069047,0.127356,0.388461,0.076666,0.5438,Medium
8,3,4,4,3,4,1,"down parah hari ini, semangat nol besar",0.072999,0.048581,0.024975,0.034964,0.024308,0.769898,0.024275,0.2812,Low
8,2,3,4,1,4,3,"badan oke tapi hati hancur, ga tau kenapa juga",0.03125,0.02775,0.061065,0.039356,0.027856,0.788237,0.024486,0.2937,Low
7,5,5,5,2,5,2,"rasanya pengen pause semuanya, istirahat total dari dunia",0.016139,0.042614,0.022698,0.019476,0.023522,0.859541,0.016009,0.1125,Low
9,5,4,4,2,4,1,"lelah fisik sama mental, dua-duanya udah di titik mentok",0.032763,0.022442,0.025848,0.031335,0.019704,0.843309,0.024599,0.1812,Low
4,3,4,4,1,2,5,"gak banyak ngomong hari ini, lebih banyak mikir sendiri",0.038187,0.036325,0.029808,0.026486,0.028819,0.811945,0.02843,0.4562,Medium
2,4,3,4,3,5,2,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget",0.026757,0.019572,0.045552,0.034192,0.025676,0.829671,0.01858,0.2812,Low
5,3,4,4,1,4,2,"mood jelek dari bangun tidur, dan terus gitu sampe malem",0.204333,0.074262,0.051928,0.088268,0.034774,0.503984,0.042451,0.2062,Low
5,5,4,4,3,4,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin",0.021154,0.016644,0.024693,0.026289,0.022357,0.870453,0.01841,0.2437,Low
8,3,4,4,3,4,1,"down parah hari ini, semangat nol besar",0.072999,0.048581,0.024975,0.034964,0.024308,0.769898,0.024275,0.2812,Low
8,2,1,2,5,1,5,pagi tadi olahraga dulu jadinya badan enak banget,0.064703,0.120223,0.245258,0.088421,0.14077,0.241907,0.098718,0.9312,High
4,5,5,4,2,4,3,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus",0.130594,0.032456,0.054179,0.059653,0.050975,0.615156,0.056986,0.2625,Low
7,5,5,5,1,5,2,"tugas segunung, waktu secuil, otak udah mati duluan",0.031557,0.018466,0.038674,0.020402,0.018215,0.853187,0.019497,0.05,Low
7,2,3,2,5,1,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen",0.038524,0.045537,0.056991,0.053164,0.535817,0.227158,0.042809,0.8938,High
5,2,3,2,4,2,4,"mood on fire dari pagi, semua kerasa ringan",0.08791,0.08537,0.064207,0.057291,0.062344,0.584228,0.058651,0.7313,High
6,5,5,4,1,5,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin",0.021154,0.016644,0.024693,0.026289,0.022357,0.870453,0.01841,0.05,Low
10,2,1,2,4,2,3,semangat banget ngerjain tugas karena topiknya menarik bgt,0.12655,0.198191,0.053599,0.088813,0.342172,0.095633,0.095041,0.7188,High
2,5,5,5,2,5,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya",0.246342,0.151577,0.219863,0.04572,0.037869,0.236265,0.062364,0.0625,Low
6,1,1,1,5,2,3,"semuanya berjalan sesuai plan, langka tapi nyata hari ini",0.065005,0.030923,0.034198,0.025924,0.03811,0.752411,0.053428,0.85,High
9,4,3,2,5,4,3,"hari ini berasa ringan banget, kayak abis lepas beban",0.063393,0.024427,0.042557,0.041492,0.035056,0.758798,0.034277,0.6063,Medium
3,2,1,2,5,2,3,seneng bgt dapet nilai bagus pas ujian tadi,0.072331,0.047316,0.09944,0.080541,0.371034,0.27263,0.056708,0.7812,High
5,1,2,1,5,1,5,ngerasa punya achievement kecil tapi berarti banget buat aku,0.021886,0.014424,0.023662,0.023485,0.023205,0.867903,0.025435,0.9812,High
2,1,2,1,5,2,5,seneng bgt dapet nilai bagus pas ujian tadi,0.072331,0.047316,0.09944,0.080541,0.371034,0.27263,0.056708,0.9312,High
8,1,1,2,3,2,5,cuaca cerah bikin hati ikutan happy ga keruan,0.073847,0.153029,0.101279,0.060833,0.411911,0.134017,0.065085,0.775,High
10,4,4,5,1,4,1,"rasanya pengen pause semuanya, istirahat total dari dunia",0.016139,0.042614,0.022698,0.019476,0.023522,0.859541,0.016009,0.0875,Low
9,5,5,5,1,5,2,gak ngerti kenapa ngerasa hampa gini dari tadi pagi,0.03822,0.026488,0.035353,0.031672,0.022538,0.819712,0.026017,0.05,Low
10,2,1,1,4,2,5,semangat banget ngerjain tugas karena topiknya menarik bgt,0.12655,0.198191,0.053599,0.088813,0.342172,0.095633,0.095041,0.8688,High
5,3,2,2,5,4,1,tugas beres tapi gak ngerasa puas atau kecewa,0.045286,0.019922,0.042915,0.02652,0.030417,0.811583,0.023356,0.5438,Medium
5,1,1,2,5,1,5,ngerasa punya achievement kecil tapi berarti banget buat aku,0.021886,0.014424,0.023662,0.023485,0.023205,0.867903,0.025435,0.95,High
8,3,2,2,5,4,2,"produktif parah hari ini, kayak mesin yang ga berhenti",0.116051,0.032125,0.090453,0.040518,0.030326,0.642272,0.048256,0.5938,Medium
5,3,4,2,3,2,4,ngerasa punya achievement kecil tapi berarti banget buat aku,0.021886,0.014424,0.023662,0.023485,0.023205,0.867903,0.025435,0.6313,Medium
8,2,3,4,2,3,3,"exhausted total, jalan aja udah kayak zombie",0.087001,0.032252,0.12162,0.04103,0.034454,0.642536,0.041107,0.4062,Medium
5,4,4,4,1,5,2,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif",0.018107,0.025364,0.037677,0.023377,0.015985,0.864621,0.014869,0.1375,Low
6,3,3,4,1,2,5,"half-half hari ini, sebagian menyenangkan sebagian meh",0.056628,0.044274,0.054233,0.032581,0.17105,0.569,0.072233,0.475,Medium
9,5,4,4,3,5,1,"gak mood sama sekali, males banget ngapa-ngapain hari ini",0.077964,0.072236,0.056911,0.055063,0.029881,0.6751,0.032845,0.1937,Low
8,5,5,5,2,4,1,"semua hal kerasa berat dan susah hari ini, capek",0.035852,0.03714,0.034635,0.043225,0.019383,0.798268,0.031497,0.1125,Low
6,2,2,2,3,3,4,"reconnect sama passion lama hari ini, bikin semangat lagi",0.116698,0.105763,0.061128,0.054515,0.17821,0.413828,0.069858,0.6375,Medium
7,4,4,5,1,5,1,"exhausted total, jalan aja udah kayak zombie",0.087001,0.032252,0.12162,0.04103,0.034454,0.642536,0.041107,0.0375,Low
4,5,5,5,1,5,2,ngerasa gak ada yang ngerti apa yang aku rasain hari ini,0.026695,0.020892,0.026215,0.028303,0.025964,0.845789,0.026141,0.05,Low
9,2,1,2,4,1,4,"lunch enak, cuaca oke, tugas beres — hari sempurna",0.079758,0.046123,0.10696,0.031587,0.567739,0.09656,0.071272,0.8188,High
6,4,4,3,2,4,2,"burnout parah, udah gak sanggup lagi kayaknya",0.054167,0.035664,0.036783,0.032138,0.021417,0.794608,0.025223,0.3,Low
9,3,4,4,3,2,4,"antara pengen rebahan dan harus produktif, pilih tengah-tengah",0.019075,0.02891,0.022983,0.024273,0.021537,0.859838,0.023385,0.5313,Medium
10,1,2,2,4,1,5,semangat banget ngerjain tugas karena topiknya menarik bgt,0.12655,0.198191,0.053599,0.088813,0.342172,0.095633,0.095041,0.8688,High
7,4,5,4,3,3,3,tugas beres tapi gak ngerasa puas atau kecewa,0.045286,0.019922,0.042915,0.02652,0.030417,0.811583,0.023356,0.3938,Low
5,2,1,1,5,2,5,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa",0.102439,0.045379,0.044787,0.042218,0.62799,0.088106,0.049081,0.9312,High
9,1,1,2,4,2,3,"pikiran jernih banget hari ini, bisa fokus full",0.106758,0.143275,0.081344,0.09353,0.377228,0.120729,0.077136,0.7375,High
2,1,1,2,5,1,4,"semuanya berjalan sesuai plan, langka tapi nyata hari ini",0.065005,0.030923,0.034198,0.025924,0.03811,0.752411,0.053428,0.9,High
4,2,2,1,5,2,5,"pikiran jernih banget hari ini, bisa fokus full",0.106758,0.143275,0.081344,0.09353,0.377228,0.120729,0.077136,0.9125,High
8,3,2,2,4,4,2,"fine-fine aja sih, cuma capek biasa yang wajar",0.047982,0.024904,0.023212,0.039538,0.029938,0.80158,0.032845,0.5312,Medium
6,2,3,2,5,3,4,excited karena dapet kesempatan baru yang udah lama ditunggu,0.032559,0.830941,0.028425,0.020618,0.035614,0.024798,0.027045,0.7438,High
10,5,5,4,1,4,2,"bad day banget, hampir nangis beberapa kali hari ini",0.058515,0.031287,0.036904,0.037579,0.033594,0.766473,0.035648,0.15,Low
9,5,5,5,1,5,1,"susah fokus banget, pikiran lari kemana-mana terus",0.04997,0.043851,0.03575,0.052471,0.021367,0.765149,0.031442,0.0,Low
2,5,5,4,1,4,3,"bad day banget, hampir nangis beberapa kali hari ini",0.058515,0.031287,0.036904,0.037579,0.033594,0.766473,0.035648,0.2,Low
1,4,5,4,2,3,4,"gak tau mau bilang apa, rasanya ya begitulah",0.035322,0.031401,0.028004,0.036089,0.023088,0.812479,0.033615,0.3813,Low
7,4,4,5,2,5,2,"burnout parah, udah gak sanggup lagi kayaknya",0.054167,0.035664,0.036783,0.032138,0.021417,0.794608,0.025223,0.15,Low
9,1,1,2,5,2,4,"mood on fire dari pagi, semua kerasa ringan",0.08791,0.08537,0.064207,0.057291,0.062344,0.584228,0.058651,0.85,High
1,5,4,5,1,5,2,pengen balik ke kasur dan ga keluar selamanya rasanya,0.017236,0.02992,0.043205,0.035066,0.022462,0.82932,0.022792,0.0688,Low
6,2,2,3,4,2,4,"reconnect sama passion lama hari ini, bikin semangat lagi",0.116698,0.105763,0.061128,0.054515,0.17821,0.413828,0.069858,0.7,High
7,4,3,4,3,5,1,"susah fokus banget, pikiran lari kemana-mana terus",0.04997,0.043851,0.03575,0.052471,0.021367,0.765149,0.031442,0.2312,Low
5,3,4,4,3,4,3,"gak ada yang aneh, ngalir aja kayak biasa",0.035679,0.032408,0.036089,0.029269,0.022269,0.811208,0.033078,0.3812,Low
8,4,5,4,1,3,4,pengen kabur dari semua tanggung jawab ini sesaat aja,0.026094,0.029023,0.022403,0.032017,0.020122,0.850805,0.019535,0.3188,Low
7,1,1,1,5,1,4,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa",0.102439,0.045379,0.044787,0.042218,0.62799,0.088106,0.049081,0.95,High
6,1,1,1,5,1,5,pagi tadi olahraga dulu jadinya badan enak banget,0.064703,0.120223,0.245258,0.088421,0.14077,0.241907,0.098718,1.0,High
6,5,5,5,2,4,1,"semua salah hari ini, dimulai dari bangun telat sampe tugas error",0.085005,0.028978,0.031938,0.039289,0.0249,0.752341,0.037549,0.1125,Low
8,5,5,4,1,5,2,gak sanggup lagi pura-pura baik-baik aja di depan semua orang,0.032783,0.02556,0.032248,0.025429,0.024138,0.835779,0.024062,0.1,Low
8,3,2,4,1,2,3,nangis di kamar mandi karena udah gak tahan stressnya,0.101015,0.061985,0.150233,0.039234,0.039873,0.565269,0.042391,0.3938,Low
6,5,4,5,1,5,2,"gak mood sama sekali, males banget ngapa-ngapain hari ini",0.077964,0.072236,0.056911,0.055063,0.029881,0.6751,0.032845,0.0688,Low
8,5,5,5,1,5,1,"down parah hari ini, semangat nol besar",0.072999,0.048581,0.024975,0.034964,0.024308,0.769898,0.024275,0.0,Low
1,2,2,3,2,4,1,"emotional banget hari ini, gampang baper sama hal kecil",0.342511,0.067375,0.054519,0.094682,0.131715,0.254727,0.05447,0.325,Low
9,3,4,4,2,4,2,lelah ngejar semuanya tapi kayak ga pernah sampe,0.026789,0.018202,0.027502,0.024204,0.019972,0.852427,0.030904,0.2688,Low
8,4,5,4,3,3,3,"ya gini-gini aja, standar banget hari ini mah",0.069697,0.017365,0.044012,0.025005,0.028656,0.743331,0.071934,0.3938,Low
9,2,3,4,1,3,3,"tugas segunung, waktu secuil, otak udah mati duluan",0.031557,0.018466,0.038674,0.020402,0.018215,0.853187,0.019497,0.3438,Low
9,2,2,1,5,2,5,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa",0.102439,0.045379,0.044787,0.042218,0.62799,0.088106,0.049081,0.9125,High
4,3,3,2,5,2,3,dapet feedback positif yang bikin makin yakin sama diri sendiri,0.087596,0.129241,0.103149,0.049472,0.23601,0.313175,0.081357,0.725,High
7,2,1,2,3,2,3,"kadang bosen kadang oke, selang-seling gitu rasanya",0.038073,0.015331,0.032821,0.025529,0.023881,0.837735,0.026629,0.6562,High
7,2,1,1,4,2,5,"kerjaan beres semua, sisa waktu buat rebahan tenang",0.034548,0.046712,0.048685,0.022859,0.037697,0.781425,0.028074,0.8688,High
7,1,1,1,5,1,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu,0.146282,0.111395,0.080793,0.069047,0.127356,0.388461,0.076666,1.0,High
10,4,3,4,2,4,1,"bad day banget, hampir nangis beberapa kali hari ini",0.058515,0.031287,0.036904,0.037579,0.033594,0.766473,0.035648,0.2188,Low
6,5,4,5,1,5,2,"susah fokus banget, pikiran lari kemana-mana terus",0.04997,0.043851,0.03575,0.052471,0.021367,0.765149,0.031442,0.0688,Low
7,3,4,2,3,4,1,"badan oke pikiran oke, tapi gak ada spark gitu",0.021915,0.018932,0.039092,0.026982,0.023769,0.846755,0.022556,0.3812,Low
7,3,2,4,2,2,4,"ya jalani aja, toh besok juga bakal ada hari baru",0.028164,0.798859,0.037111,0.031221,0.022916,0.037848,0.043881,0.5062,Medium
4,4,3,4,3,4,2,pengen kabur dari semua tanggung jawab ini sesaat aja,0.026094,0.029023,0.022403,0.032017,0.020122,0.850805,0.019535,0.3312,Low
4,5,5,4,1,5,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini",0.877257,0.027499,0.019537,0.019573,0.020674,0.024595,0.010866,0.05,Low
5,2,2,1,4,2,4,"happy banget hari ini, banyak hal baik terjadi",0.140631,0.059319,0.056978,0.076419,0.401344,0.152741,0.112568,0.8,High
7,3,3,3,3,4,3,"ngejalanin rutinitas seperti biasa, gak naik gak turun",0.019786,0.015524,0.025637,0.021096,0.01734,0.876967,0.02365,0.45,Medium
3,3,3,4,1,4,3,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif",0.018107,0.025364,0.037677,0.023377,0.015985,0.86462,0.014869,0.275,Low
7,3,3,2,4,2,4,"reconnect sama passion lama hari ini, bikin semangat lagi",0.116698,0.105763,0.061128,0.054515,0.17821,0.413828,0.069858,0.7125,High
7,5,4,4,2,4,3,"emotional banget hari ini, gampang baper sama hal kecil",0.342511,0.067375,0.054519,0.094682,0.131715,0.254727,0.05447,0.2812,Low
10,4,5,4,2,5,1,"exhausted total, jalan aja udah kayak zombie",0.087001,0.032252,0.12162,0.04103,0.034454,0.642536,0.041107,0.1312,Low
6,5,5,5,1,4,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif",0.018107,0.025364,0.037677,0.023377,0.015985,0.864621,0.014869,0.05,Low
5,3,4,4,2,4,2,gak ngerti kenapa ngerasa hampa gini dari tadi pagi,0.03822,0.026488,0.035353,0.031672,0.022538,0.819712,0.026017,0.2688,Low
6,2,1,1,4,2,3,"lunch enak, cuaca oke, tugas beres — hari sempurna",0.079758,0.046123,0.10696,0.031587,0.567739,0.09656,0.071272,0.7687,High
8,2,1,2,3,1,4,"hari ini penuh tawa, lupa sama capek dan penat",0.058421,0.061455,0.052343,0.057723,0.048341,0.68667,0.035046,0.7562,High
2,4,5,4,1,4,3,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus",0.130594,0.032456,0.054179,0.059653,0.050975,0.615156,0.056986,0.2188,Low
6,2,1,2,4,2,5,"happy banget hari ini, banyak hal baik terjadi",0.140631,0.059319,0.056978,0.076419,0.401344,0.152741,0.112568,0.8188,High
2,3,3,3,3,4,2,"standar banget, kayak hari-hari sebelumnya yang mirip",0.171871,0.063149,0.092586,0.030907,0.048134,0.537357,0.055996,0.4,Low
8,2,3,4,2,4,3,"overthinking parah tadi malem, jadinya kurang tidur dan lesu",0.077345,0.039237,0.094275,0.06,0.022346,0.678681,0.028116,0.3562,Low
5,3,3,4,1,2,4,"pikiran gelap dateng lagi, susah diusir pergi",0.031828,0.031814,0.041505,0.03083,0.016609,0.827991,0.019424,0.425,Medium
5,1,2,1,5,1,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen",0.038524,0.045537,0.056991,0.053164,0.535817,0.227158,0.042809,0.9812,High
11,4,4,3,3,4,3,"kadang bosen kadang oke, selang-seling gitu rasanya",0.038073,0.015331,0.032821,0.025529,0.023881,0.837735,0.026629,0.4125,Medium
5,5,5,5,1,4,3,lelah ngejar semuanya tapi kayak ga pernah sampe,0.026789,0.018202,0.027502,0.024204,0.019972,0.852427,0.030904,0.15,Low
3,2,3,4,3,4,2,"hari ini drama banget, banyak hal yang salah semua",0.098001,0.03134,0.03665,0.053587,0.049491,0.676758,0.054173,0.3687,Low
5,2,1,1,4,2,3,"semuanya berjalan sesuai plan, langka tapi nyata hari ini",0.065005,0.030923,0.034198,0.025924,0.03811,0.752411,0.053428,0.7687,High
8,4,3,4,1,3,2,"rasanya pengen pause semuanya, istirahat total dari dunia",0.016139,0.042614,0.022698,0.019476,0.023522,0.859541,0.016009,0.2562,Low
5,2,3,2,5,1,4,seneng bgt dapet nilai bagus pas ujian tadi,0.072331,0.047316,0.09944,0.080541,0.371034,0.27263,0.056708,0.8438,High
6,3,3,3,3,4,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif",0.018107,0.025364,0.037677,0.023377,0.015985,0.864621,0.014869,0.35,Low
4,3,3,2,5,2,3,"mood on fire dari pagi, semua kerasa ringan",0.08791,0.08537,0.064207,0.057291,0.062344,0.584228,0.058651,0.725,High
6,1,1,2,3,2,4,alhamdulillah hari ini lancar banget ga ada hambatan,0.041489,0.035004,0.063993,0.043882,0.079221,0.668069,0.068343,0.725,High
6,1,2,2,3,2,4,"lunch enak, cuaca oke, tugas beres — hari sempurna",0.079758,0.046123,0.10696,0.031587,0.567739,0.09656,0.071272,0.7062,High
4,1,2,2,5,1,5,"kerjaan beres semua, sisa waktu buat rebahan tenang",0.034548,0.046712,0.048685,0.022859,0.037697,0.781425,0.028074,0.9312,High
